id,category,type,prompt,difficulty,keywords,length
1,에세이,비유/은유 연습,‘후회’을(를) 계절에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['사랑', '변화', '강물']",400
2,에세이,비유/은유 연습,‘행복’을(를) 구름으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,쉬움,"['죽음', '우정', '폭풍']",350
3,에세이,비유/은유 연습,‘시간’을(를) 구름으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['불꽃', '죽음', '희망']",350
4,에세이,비유/은유 연습,‘죽음’과(와) 별빛을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,쉬움,"['계절', '숲', '여행']",500
5,에세이,비유/은유 연습,해와 달을(를) 활용해 ‘우정’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,쉬움,"['변화', '시간', '별']",400
6,에세이,비유/은유 연습,‘고독’을(를) 비과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,어려움,"['고독', '시간', '죽음']",450
7,에세이,비유/은유 연습,‘삶’을(를) 거울에 비유해 300자 내외의 짧은 에세이를 작성하라.,중간,"['여행', '바다', '강물']",400
8,에세이,비유/은유 연습,‘평화’을(를) 거울에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['강물', '꿈', '우정']",400
9,에세이,비유/은유 연습,‘고독’과(와) 모래시계을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,중간,"['철학', '강물', '하늘']",350
10,에세이,비유/은유 연습,‘전쟁’과(와) 불꽃을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,중간,"['별', '꿈', '불꽃']",450
11,에세이,비유/은유 연습,‘기억’을(를) 별빛에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['죽음', '철학', '변화']",350
12,에세이,비유/은유 연습,‘변화’을(를) 구름처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['철학', '바다', '시간']",350
13,에세이,비유/은유 연습,‘사랑’을(를) 비으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['별', '여행', '바다']",300
14,에세이,비유/은유 연습,‘기억’을(를) 거울에 비유해 300자 내외의 짧은 에세이를 작성하라.,어려움,"['죽음', '사랑', '꿈']",400
15,에세이,비유/은유 연습,‘청춘’을(를) 별빛과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,쉬움,"['여행', '자연', '사랑']",350
16,에세이,비유/은유 연습,‘변화’을(를) 모래시계으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['계절', '철학', '별']",300
17,에세이,비유/은유 연습,불꽃을(를) 통해 ‘자연’의 변화를 비유로 풀어낸 450자 글을 작성하라.,중간,"['강물', '폭풍', '여행']",300
18,에세이,비유/은유 연습,‘도시’을(를) 나무에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['기억', '사랑', '별']",500
19,에세이,비유/은유 연습,‘시간’을(를) 불꽃으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['기억', '희망', '여행']",450
20,에세이,비유/은유 연습,사막을(를) 통해 ‘자연’의 변화를 비유로 풀어낸 450자 글을 작성하라.,중간,"['숲', '시간', '우정']",400
21,에세이,비유/은유 연습,‘시간’을(를) 바람처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['철학', '자연', '계절']",450
22,에세이,비유/은유 연습,‘시간’을(를) 사막과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,어려움,"['여행', '하늘', '불꽃']",450
23,에세이,비유/은유 연습,사막을(를) 통해 ‘변화’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['여행', '기억', '사랑']",400
24,에세이,비유/은유 연습,‘별’을(를) 비에 비유해 300자 내외의 짧은 에세이를 작성하라.,중간,"['여행', '강물', '숲']",300
25,에세이,비유/은유 연습,‘전쟁’을(를) 거울에 비유해 300자 내외의 짧은 에세이를 작성하라.,어려움,"['별', '우정', '강물']",300
26,에세이,비유/은유 연습,‘평화’을(를) 꽃에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['계절', '사랑', '폭풍']",450
27,에세이,비유/은유 연습,계절을(를) 통해 ‘변화’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['여행', '자연', '희망']",400
28,에세이,비유/은유 연습,나무을(를) 활용해 ‘자연’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,어려움,"['여행', '사랑', '계절']",450
29,에세이,비유/은유 연습,‘사랑’을(를) 어둠에 비유해 300자 내외의 짧은 에세이를 작성하라.,어려움,"['불꽃', '하늘', '고독']",450
30,에세이,비유/은유 연습,‘행복’을(를) 바다처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['희망', '철학', '죽음']",400
31,에세이,비유/은유 연습,‘고독’을(를) 모래시계처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['숲', '철학', '별']",450
32,에세이,비유/은유 연습,‘고독’을(를) 강물에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['강물', '바다', '불꽃']",300
33,에세이,비유/은유 연습,‘희망’을(를) 불꽃에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,어려움,"['죽음', '시간', '강물']",350
34,에세이,비유/은유 연습,‘시간’과(와) 불꽃을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,어려움,"['강물', '별', '우정']",450
35,에세이,비유/은유 연습,‘삶’을(를) 하늘으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['별', '자연', '하늘']",350
36,에세이,비유/은유 연습,‘고독’을(를) 계절과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,어려움,"['숲', '철학', '하늘']",450
37,에세이,비유/은유 연습,‘전쟁’을(를) 폭풍으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['자연', '폭풍', '시간']",400
38,에세이,비유/은유 연습,‘별’을(를) 파도처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['폭풍', '우정', '별']",450
39,에세이,비유/은유 연습,‘행복’과(와) 숲을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,중간,"['폭풍', '희망', '숲']",500
40,에세이,비유/은유 연습,바람을(를) 통해 ‘삶’의 변화를 비유로 풀어낸 450자 글을 작성하라.,중간,"['하늘', '바다', '여행']",400
41,에세이,비유/은유 연습,‘자연’을(를) 불꽃과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,쉬움,"['숲', '여행', '계절']",500
42,에세이,비유/은유 연습,‘죽음’을(를) 폭풍과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,쉬움,"['꿈', '별', '자연']",450
43,에세이,비유/은유 연습,‘시간’을(를) 해와 달과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,어려움,"['불꽃', '하늘', '폭풍']",400
44,에세이,비유/은유 연습,‘청춘’을(를) 하늘에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['고독', '폭풍', '시간']",450
45,에세이,비유/은유 연습,‘청춘’을(를) 나무에 비유해 300자 내외의 짧은 에세이를 작성하라.,중간,"['숲', '계절', '폭풍']",300
46,에세이,비유/은유 연습,‘강물’을(를) 구름으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['철학', '희망', '고독']",450
47,에세이,비유/은유 연습,‘도시’을(를) 거울처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['기억', '시간', '희망']",300
48,에세이,비유/은유 연습,구름을(를) 통해 ‘행복’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['숲', '불꽃', '자연']",500
49,에세이,비유/은유 연습,‘기억’을(를) 바람에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,중간,"['폭풍', '시간', '숲']",400
50,에세이,비유/은유 연습,‘후회’과(와) 모래시계을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,어려움,"['불꽃', '희망', '꿈']",400
51,에세이,비유/은유 연습,바다을(를) 통해 ‘꿈’의 변화를 비유로 풀어낸 450자 글을 작성하라.,쉬움,"['바다', '별', '사랑']",350
52,에세이,비유/은유 연습,우주을(를) 통해 ‘가족’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['여행', '폭풍', '희망']",300
53,에세이,비유/은유 연습,‘변화’을(를) 계절에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,중간,"['기억', '계절', '여행']",400
54,에세이,비유/은유 연습,‘삶’을(를) 어둠과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,어려움,"['강물', '바다', '숲']",400
55,에세이,비유/은유 연습,‘가족’을(를) 하늘에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['불꽃', '하늘', '별']",350
56,에세이,비유/은유 연습,‘삶’을(를) 파도에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['별', '여행', '희망']",450
57,에세이,비유/은유 연습,‘희망’을(를) 우주과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,중간,"['숲', '철학', '고독']",350
58,에세이,비유/은유 연습,‘도시’을(를) 어둠처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['숲', '죽음', '고독']",450
59,에세이,비유/은유 연습,‘도시’을(를) 우주에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,어려움,"['고독', '우정', '희망']",400
60,에세이,비유/은유 연습,‘변화’을(를) 바람으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,쉬움,"['고독', '자연', '희망']",500
61,에세이,비유/은유 연습,‘도시’을(를) 우주으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['사랑', '변화', '하늘']",400
62,에세이,비유/은유 연습,우주을(를) 활용해 ‘변화’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,쉬움,"['사랑', '변화', '고독']",450
63,에세이,비유/은유 연습,‘후회’을(를) 구름으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['시간', '고독', '죽음']",400
64,에세이,비유/은유 연습,파도을(를) 통해 ‘평화’의 변화를 비유로 풀어낸 450자 글을 작성하라.,중간,"['변화', '숲', '여행']",450
65,에세이,비유/은유 연습,‘별’을(를) 사막과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,중간,"['강물', '계절', '우정']",300
66,에세이,비유/은유 연습,계절을(를) 활용해 ‘강물’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,쉬움,"['죽음', '시간', '꿈']",450
67,에세이,비유/은유 연습,‘고독’을(를) 숲으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['시간', '철학', '하늘']",450
68,에세이,비유/은유 연습,‘청춘’을(를) 어둠에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,어려움,"['시간', '죽음', '변화']",500
69,에세이,비유/은유 연습,‘자연’을(를) 구름에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,중간,"['고독', '변화', '바다']",450
70,에세이,비유/은유 연습,‘변화’을(를) 꽃처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['바다', '여행', '계절']",450
71,에세이,비유/은유 연습,‘도시’을(를) 하늘처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['꿈', '여행', '숲']",400
72,에세이,비유/은유 연습,‘기억’을(를) 폭풍으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['철학', '계절', '불꽃']",500
73,에세이,비유/은유 연습,‘가족’을(를) 강물에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['여행', '죽음', '기억']",400
74,에세이,비유/은유 연습,‘가족’과(와) 꽃을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,어려움,"['여행', '희망', '폭풍']",500
75,에세이,비유/은유 연습,‘청춘’을(를) 거울과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,쉬움,"['희망', '여행', '불꽃']",350
76,에세이,비유/은유 연습,‘죽음’과(와) 강물을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,쉬움,"['사랑', '숲', '불꽃']",450
77,에세이,비유/은유 연습,‘청춘’을(를) 바다처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['폭풍', '별', '철학']",400
78,에세이,비유/은유 연습,‘우정’을(를) 파도과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,어려움,"['철학', '불꽃', '계절']",350
79,에세이,비유/은유 연습,바다을(를) 활용해 ‘기억’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,쉬움,"['시간', '계절', '강물']",450
80,에세이,비유/은유 연습,별빛을(를) 활용해 ‘전쟁’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,어려움,"['고독', '기억', '계절']",500
81,에세이,비유/은유 연습,거울을(를) 통해 ‘사랑’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['숲', '강물', '우정']",450
82,에세이,비유/은유 연습,‘꿈’을(를) 숲에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['여행', '꿈', '불꽃']",500
83,에세이,비유/은유 연습,‘전쟁’을(를) 별빛처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['시간', '죽음', '꿈']",500
84,에세이,비유/은유 연습,‘후회’을(를) 꽃에 비유해 300자 내외의 짧은 에세이를 작성하라.,중간,"['하늘', '우정', '강물']",300
85,에세이,비유/은유 연습,‘꿈’을(를) 해와 달처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['기억', '시간', '여행']",400
86,에세이,비유/은유 연습,나무을(를) 통해 ‘청춘’의 변화를 비유로 풀어낸 450자 글을 작성하라.,쉬움,"['바다', '여행', '사랑']",450
87,에세이,비유/은유 연습,‘후회’을(를) 우주처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['숲', '죽음', '사랑']",300
88,에세이,비유/은유 연습,‘후회’을(를) 비에 비유해 300자 내외의 짧은 에세이를 작성하라.,어려움,"['별', '변화', '시간']",300
89,에세이,비유/은유 연습,‘평화’을(를) 바람에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['사랑', '우정', '하늘']",350
90,에세이,비유/은유 연습,‘청춘’을(를) 바람에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['별', '우정', '자연']",400
91,에세이,비유/은유 연습,‘청춘’을(를) 나무처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['불꽃', '폭풍', '변화']",500
92,에세이,비유/은유 연습,계절을(를) 활용해 ‘전쟁’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,어려움,"['숲', '바다', '죽음']",350
93,에세이,비유/은유 연습,‘가족’을(를) 해와 달에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['폭풍', '고독', '별']",350
94,에세이,비유/은유 연습,‘죽음’을(를) 숲처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['바다', '죽음', '우정']",300
95,에세이,비유/은유 연습,‘희망’을(를) 모래시계처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['죽음', '하늘', '시간']",450
96,에세이,비유/은유 연습,‘시간’과(와) 꽃을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,어려움,"['희망', '꿈', '계절']",500
97,에세이,비유/은유 연습,‘도시’을(를) 불꽃에 비유해 300자 내외의 짧은 에세이를 작성하라.,중간,"['바다', '숲', '시간']",450
98,에세이,비유/은유 연습,‘강물’을(를) 어둠처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['우정', '강물', '희망']",350
99,에세이,비유/은유 연습,‘평화’을(를) 해와 달처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['여행', '하늘', '자연']",400
100,에세이,비유/은유 연습,‘시간’을(를) 나무처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['불꽃', '하늘', '폭풍']",500
101,에세이,비유/은유 연습,‘죽음’과(와) 비을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,어려움,"['고독', '여행', '하늘']",400
