id,category,type,prompt,difficulty,keywords,length
1,에세이,편지 에세이,‘미래의 나’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,쉬움,"['비유', '감정', '서정']",500
2,에세이,편지 에세이,‘첫사랑에게’에게 시간과 공간을 초월한 편지를 450자 내외로 작성하라. 몽환적인 톤으로.,어려움,"['회상', '자연', '감정']",350
3,에세이,편지 에세이,‘낡은 시계’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,쉬움,"['회상', '자연', '묘사']",350
4,에세이,편지 에세이,‘용기’에게 보내는 편지를 400자 내외로 작성하라. 감정적이되 직접적인 교훈은 피하라.,쉬움,"['대화', '편지', '서정']",450
5,에세이,편지 에세이,‘망각’에게 감정과 기억을 섞어 시적이면서도 간결한 편지를 써라 (300~400자).,어려움,"['대화', '비유', '자연']",350
6,에세이,편지 에세이,‘하늘’에게 감정과 기억을 섞어 시적이면서도 간결한 편지를 써라 (300~400자).,쉬움,"['편지', '자연', '서정']",450
7,에세이,편지 에세이,‘어린 시절의 나’에게 감정과 기억을 섞어 시적이면서도 간결한 편지를 써라 (300~400자).,쉬움,"['서정', '편지', '대화']",300
8,에세이,편지 에세이,‘노년의 나’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,쉬움,"['자연', '묘사', '서정']",350
9,에세이,편지 에세이,"‘바람’에게 과거의 일화를 떠올리며 편지를 쓰되, 은유와 묘사를 중심으로 350자 글을 작성하라.",어려움,"['비유', '대화', '서정']",400
10,에세이,편지 에세이,‘창밖의 나무’에게 처음이자 마지막으로 쓰는 편지를 500자 이내로 작성하라. 감정의 여운을 남기도록.,어려움,"['감정', '서정', '대화']",450
11,에세이,편지 에세이,‘하늘’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,중간,"['묘사', '감정', '편지']",400
12,에세이,편지 에세이,‘미래의 나’에게 하루의 끝에 적는 편지를 450자 내외로 작성하라. 독백 같은 분위기로.,중간,"['묘사', '회상', '대화']",500
13,에세이,편지 에세이,‘오래된 친구에게’에게 감정과 기억을 섞어 시적이면서도 간결한 편지를 써라 (300~400자).,어려움,"['회상', '자연', '감정']",300
14,에세이,편지 에세이,‘두려움’에게 감정과 기억을 섞어 시적이면서도 간결한 편지를 써라 (300~400자).,어려움,"['자연', '서정', '대화']",400
15,에세이,편지 에세이,"‘운명’에게 사과나 감사의 편지를 400자 글로 작성하되, 직접적 설명보다는 비유를 활용하라.",어려움,"['서정', '감정', '자연']",450
16,에세이,편지 에세이,‘달빛’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,중간,"['비유', '자연', '서정']",450
17,에세이,편지 에세이,‘과거의 나’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,쉬움,"['편지', '비유', '감정']",450
18,에세이,편지 에세이,‘두려움’에게 보내는 편지를 400자 내외로 작성하라. 감정적이되 직접적인 교훈은 피하라.,중간,"['감정', '회상', '비유']",450
19,에세이,편지 에세이,‘기쁨’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,중간,"['편지', '비유', '회상']",400
20,에세이,편지 에세이,‘오래된 친구에게’에게 시간과 공간을 초월한 편지를 450자 내외로 작성하라. 몽환적인 톤으로.,어려움,"['회상', '서정', '비유']",400
21,에세이,편지 에세이,"‘버려진 의자’에게 과거의 일화를 떠올리며 편지를 쓰되, 은유와 묘사를 중심으로 350자 글을 작성하라.",어려움,"['편지', '대화', '감정']",450
22,에세이,편지 에세이,"‘잃어버린 꿈에게’에게 사과나 감사의 편지를 400자 글로 작성하되, 직접적 설명보다는 비유를 활용하라.",어려움,"['편지', '회상', '묘사']",450
23,에세이,편지 에세이,‘버려진 의자’에게 감정과 기억을 섞어 시적이면서도 간결한 편지를 써라 (300~400자).,중간,"['비유', '회상', '묘사']",500
24,에세이,편지 에세이,‘기억’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,어려움,"['회상', '비유', '서정']",400
25,에세이,편지 에세이,‘달빛’에게 보내는 편지를 400자 내외로 작성하라. 감정적이되 직접적인 교훈은 피하라.,어려움,"['회상', '묘사', '자연']",400
26,에세이,편지 에세이,‘노년의 나’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,어려움,"['편지', '회상', '대화']",300
27,에세이,편지 에세이,"‘희망’에게 과거의 일화를 떠올리며 편지를 쓰되, 은유와 묘사를 중심으로 350자 글을 작성하라.",어려움,"['자연', '감정', '회상']",300
28,에세이,편지 에세이,"‘새벽의 별’에게 사과나 감사의 편지를 400자 글로 작성하되, 직접적 설명보다는 비유를 활용하라.",중간,"['대화', '비유', '서정']",300
29,에세이,편지 에세이,‘기억’에게 감정과 기억을 섞어 시적이면서도 간결한 편지를 써라 (300~400자).,중간,"['감정', '서정', '회상']",300
30,에세이,편지 에세이,"‘두려움’에게 과거의 일화를 떠올리며 편지를 쓰되, 은유와 묘사를 중심으로 350자 글을 작성하라.",쉬움,"['대화', '서정', '감정']",300
31,에세이,편지 에세이,"‘강물’에게 과거의 일화를 떠올리며 편지를 쓰되, 은유와 묘사를 중심으로 350자 글을 작성하라.",중간,"['감정', '서정', '묘사']",400
32,에세이,편지 에세이,"‘가로등 불빛’에게 과거의 일화를 떠올리며 편지를 쓰되, 은유와 묘사를 중심으로 350자 글을 작성하라.",중간,"['회상', '자연', '대화']",350
33,에세이,편지 에세이,‘과거의 나’에게 잊고 싶지만 잊지 못하는 마음을 담아 350자 편지를 써라.,쉬움,"['비유', '서정', '대화']",500
34,에세이,편지 에세이,‘바람’에게 하루의 끝에 적는 편지를 450자 내외로 작성하라. 독백 같은 분위기로.,어려움,"['비유', '자연', '회상']",500
35,에세이,편지 에세이,"‘잃어버린 꿈에게’에게 사과나 감사의 편지를 400자 글로 작성하되, 직접적 설명보다는 비유를 활용하라.",어려움,"['편지', '회상', '서정']",400
36,에세이,편지 에세이,‘어린 시절의 나’에게 처음이자 마지막으로 쓰는 편지를 500자 이내로 작성하라. 감정의 여운을 남기도록.,쉬움,"['대화', '회상', '서정']",400
