id,category,type,prompt,difficulty,keywords,length,created_at
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 안개 덮인 산길, 긴장감과 고요를 교차시키는 시: 은유와 대구를 활용한 3행 즉흥시를 작성하세요. 단어: '고요한 별빛, 붉은 별빛, 황혼의 그림자'",어려움,"[고요한 별빛, 붉은 별빛, 황혼의 그림자]",103,2025-07-16 18:40:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 별무리 진 초원, 리듬감 있는 고전풍 시: 리듬감을 강조한 고전풍 3행 시를 작성하세요. 단어: '은빛 초승달, 별빛 모닥불, 붉은 바다'",어려움,"[은빛 초승달, 별빛 모닥불, 붉은 바다]",107,2025-07-16 18:39:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 희미한 달빛 강가, 단조롭지만 서정적인 시: 은유와 대구를 활용한 3행 즉흥시를 작성하세요. 단어: '황혼의 하늘, 별빛 유리, 서리 낀 연못'",어려움,"[황혼의 하늘, 별빛 유리, 서리 낀 연못]",132,2025-07-16 18:38:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 황혼빛 해안, 몽환적 상징을 담은 시: 몽환적인 상징을 담아 4행 시를 작성하세요. 단어: '빛 없는 바다, 서리 내린 길, 검은 숲'",어려움,"[빛 없는 바다, 서리 내린 길, 검은 숲]",108,2025-07-16 18:37:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 별빛이 가득한 밤, 심연을 묘사한 서사적 시: 은유와 반복을 살려 4행의 즉흥시를 작성하세요. 단어: '흐린 별자리, 흐린 구름, 고요한 공기'",어려움,"[흐린 별자리, 흐린 구름, 고요한 공기]",123,2025-07-16 18:36:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 별무리 진 초원, 단조롭지만 서정적인 시: 리듬감을 강조한 고전풍 3행 시를 작성하세요. 단어: '서늘한 물결, 고요한 들판, 서리 내린 공기'",어려움,"[서늘한 물결, 고요한 들판, 서리 내린 공기]",148,2025-07-16 18:35:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 붉게 타오르는 노을, 심연을 묘사한 서사적 시: 은유와 대구를 활용한 3행 즉흥시를 작성하세요. 단어: '황혼빛 강물, 황혼빛 모래, 푸른 잎새'",어려움,"[황혼빛 강물, 황혼빛 모래, 푸른 잎새]",144,2025-07-16 18:34:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 황혼빛 해안, 단조롭지만 서정적인 시: 긴장감과 고요를 교차시켜 3행 시를 작성하세요. 단어: '차갑게 언 계곡, 차갑게 스민 공기, 고요한 바람결'",어려움,"[차갑게 언 계곡, 차갑게 스민 공기, 고요한 바람결]",95,2025-07-16 18:33:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 은빛으로 덮인 숲, 몽환적 상징을 담은 시: 리듬감을 강조한 고전풍 3행 시를 작성하세요. 단어: '푸른 불꽃, 흐린 새벽빛, 은빛 불씨'",어려움,"[푸른 불꽃, 흐린 새벽빛, 은빛 불씨]",110,2025-07-16 18:32:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 별빛이 가득한 밤, 은유와 반복을 강조한 시: 심연을 묘사하는 서사적 4행 시를 작성하세요. 단어: '별빛 흔적, 푸른 하늘빛, 은빛 바위'",어려움,"[별빛 흔적, 푸른 하늘빛, 은빛 바위]",141,2025-07-16 18:31:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 안개 덮인 산길, 단조롭지만 서정적인 시: 긴장감과 고요를 교차시켜 3행 시를 작성하세요. 단어: '빛 없는 초원, 고요한 새벽, 빛 없는 숲'",어려움,"[빛 없는 초원, 고요한 새벽, 빛 없는 숲]",133,2025-07-16 18:30:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 희미한 달빛 강가, 긴장감과 고요를 교차시키는 시: 긴장감과 고요를 교차시켜 3행 시를 작성하세요. 단어: '차가운 별빛, 흐린 불씨, 은빛 잎새'",어려움,"[차가운 별빛, 흐린 불씨, 은빛 잎새]",88,2025-07-16 18:29:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 붉게 타오르는 노을, 심연을 묘사한 서사적 시: 은유와 반복을 살려 4행의 즉흥시를 작성하세요. 단어: '차가운 불빛, 황혼의 구름, 차갑게 언 돌'",어려움,"[차가운 불빛, 황혼의 구름, 차갑게 언 돌]",94,2025-07-16 18:28:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 별무리 진 초원, 리듬감 있는 고전풍 시: 파편적 이미지를 엮어 3~5행 시를 만드세요. 단어: '서리 내린 초원, 별빛 조각, 서리 낀 안개'",어려움,"[서리 내린 초원, 별빛 조각, 서리 낀 안개]",80,2025-07-16 18:27:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 안개 덮인 산길, 심연을 묘사한 서사적 시: 상징적 대비를 살려 3행 시를 작성하세요. 단어: '은빛 하늘빛, 푸른 조개, 붉은 하늘'",어려움,"[은빛 하늘빛, 푸른 조개, 붉은 하늘]",93,2025-07-16 18:26:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 붉게 타오르는 노을, 은하수 같은 흐름의 시: 심연을 묘사하는 서사적 4행 시를 작성하세요. 단어: '별빛 바다, 빛 없는 하늘, 붉은 하늘빛'",어려움,"[별빛 바다, 빛 없는 하늘, 붉은 하늘빛]",93,2025-07-16 18:25:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 무너진 성벽의 고요, 긴장감과 고요를 교차시키는 시: 은유와 대구를 활용한 3행 즉흥시를 작성하세요. 단어: '빛 없는 계곡, 붉은 연기, 빛 없는 길'",어려움,"[빛 없는 계곡, 붉은 연기, 빛 없는 길]",91,2025-07-16 18:24:00
,시,즉흥시 (입시),"즉흥시 연습 (입시 대비) - 조용히 흐르는 강물, 은유와 대구로 구성된 시: 흐르는 듯한 운율로 4행 즉흥시를 작성하세요. 단어: '빛바랜 하늘, 차가운 달빛, 푸른 불빛'",어려움,"[빛바랜 하늘, 차가운 달빛, 푸른 불빛]",144,2025-07-16 18:23:00
