id,category,type,prompt,difficulty,keywords,length,created_at
,시,즉흥시,"즉흥시 연습 (시간과 흐름, 반복 강조형): 주제와 단어로 4행의 즉흥시를 완성하세요. 단어: '불씨, 푸른 유성, 서늘함'",중간,"[불씨, 푸른 유성, 서늘함]",86,2025-07-17 14:40:00
,시,즉흥시,"즉흥시 연습 (감정과 내면, 반복 강조형): 단편적 서사로 3~5행의 즉흥시를 완성하세요. 단어: '불타는 하늘, 노을빛 강, 포근함'",중간,"[불타는 하늘, 노을빛 강, 포근함]",82,2025-07-17 14:39:00
,시,즉흥시,"즉흥시 연습 (감정과 내면, 이미지 중심형): 주어진 단어를 활용해 3행의 즉흥시를 작성하세요. 단어: '포근한 공기, 검은 숲, 들판'",중간,"[포근한 공기, 검은 숲, 들판]",54,2025-07-17 14:38:00
,시,즉흥시,"즉흥시 연습 (자연 풍경, 리듬 강조형): 주어진 단어를 활용해 3행의 즉흥시를 작성하세요. 단어: '하얀 구름, 돌길, 파도'",쉬움,"[하얀 구름, 돌길, 파도]",74,2025-07-17 14:37:00
,시,즉흥시,"즉흥시 연습 (숲과 산, 단편적 서사형): 단어를 반복적으로 사용하여 2~3행 시를 작성하세요. 단어: '은하수 조각, 초승달, 유리'",어려움,"[은하수 조각, 초승달, 유리]",76,2025-07-17 14:36:00
,시,즉흥시,"즉흥시 연습 (바다와 섬, 대조적 묘사형): 주제와 단어로 4행의 즉흥시를 완성하세요. 단어: '빛나는 별, 향기, 조약돌'",어려움,"[빛나는 별, 향기, 조약돌]",87,2025-07-17 14:35:00
,시,즉흥시,"즉흥시 연습 (별과 우주, 대구형): 3음보 형식으로 한 줄 즉흥시를 만들어 보세요. 단어: '풀잎, 별자리, 소곤거림'",쉬움,"[풀잎, 별자리, 소곤거림]",95,2025-07-17 14:34:00
,시,즉흥시,"즉흥시 연습 (신화적 상징, 이미지 중심형): 리듬감을 살린 3행 즉흥시를 작성하세요. 단어: '빗소리, 빛살, 고요한 달'",중간,"[빗소리, 빛살, 고요한 달]",68,2025-07-17 14:33:00
,시,즉흥시,"즉흥시 연습 (일상의 순간, 이미지 중심형): 주어진 단어를 활용해 3행의 즉흥시를 작성하세요. 단어: '푸른 물안개, 강물, 별의 흔적'",중간,"[푸른 물안개, 강물, 별의 흔적]",76,2025-07-17 14:32:00
,시,즉흥시,"즉흥시 연습 (도시의 밤, 은유적 묘사형): 대구 형태로 4행 시를 작성하세요. 단어: '잿빛 초원, 희망의 불씨, 낙엽'",어려움,"[잿빛 초원, 희망의 불씨, 낙엽]",101,2025-07-17 14:31:00
,시,즉흥시,"즉흥시 연습 (바다와 섬, 4행시): 이미지 중심으로 4행 즉흥시를 작성하세요. 단어: '눈, 차가운 별빛, 나무결'",쉬움,"[눈, 차가운 별빛, 나무결]",118,2025-07-17 14:30:00
,시,즉흥시,"즉흥시 연습 (숲과 산, 3음보 한 줄 시): 리듬감을 살린 3행 즉흥시를 작성하세요. 단어: '황량함, 부드러움, 침묵'",쉬움,"[황량함, 부드러움, 침묵]",59,2025-07-17 14:29:00
,시,즉흥시,"즉흥시 연습 (사계절 변화, 대조적 묘사형): 이미지 중심으로 4행 즉흥시를 작성하세요. 단어: '붉은 잎새, 별무리, 열기'",쉬움,"[붉은 잎새, 별무리, 열기]",117,2025-07-17 14:28:00
,시,즉흥시,"즉흥시 연습 (바다와 섬, 단편적 서사형): 주제와 단어로 4행의 즉흥시를 완성하세요. 단어: '은빛 강, 서걱임, 안개'",중간,"[은빛 강, 서걱임, 안개]",102,2025-07-17 14:27:00
,시,즉흥시,"즉흥시 연습 (일상의 순간, 단편적 서사형): 주어진 단어를 활용해 3행의 즉흥시를 작성하세요. 단어: '숨결, 깜박임, 하늘'",쉬움,"[숨결, 깜박임, 하늘]",97,2025-07-17 14:26:00
,시,즉흥시,"즉흥시 연습 (사계절 변화, 단편적 서사형): 3음보 형식으로 한 줄 즉흥시를 만들어 보세요. 단어: '바람결, 초원의 향기, 은빛 연못'",쉬움,"[바람결, 초원의 향기, 은빛 연못]",113,2025-07-17 14:25:00
,시,즉흥시,"즉흥시 연습 (도시의 밤, 대구형): 3음보 형식으로 한 줄 즉흥시를 만들어 보세요. 단어: '연기, 서리, 철길'",어려움,"[연기, 서리, 철길]",91,2025-07-17 14:24:00
,시,즉흥시,"즉흥시 연습 (자연 풍경, 리듬 강조형): 주어진 단어를 활용해 3행의 즉흥시를 작성하세요. 단어: '잔디, 모닥불, 새벽'",어려움,"[잔디, 모닥불, 새벽]",70,2025-07-17 14:23:00
,시,즉흥시,"즉흥시 연습 (시간과 흐름, 반복 강조형): 단어를 반복적으로 사용하여 2~3행 시를 작성하세요. 단어: '흐린 창, 석양, 강가'",중간,"[흐린 창, 석양, 강가]",116,2025-07-17 14:22:00
,시,즉흥시,"즉흥시 연습 (자연 풍경, 이미지 중심형): 리듬감을 살린 3행 즉흥시를 작성하세요. 단어: '빛 없는 길, 별빛 조각, 미풍'",쉬움,"[빛 없는 길, 별빛 조각, 미풍]",81,2025-07-17 14:21:00
,시,즉흥시,"즉흥시 연습 (자연 풍경, 4행시): 은유적 표현으로 2~4행 즉흥시를 작성하세요. 단어: '희미함, 파편, 시계'",어려움,"[희미함, 파편, 시계]",91,2025-07-17 14:20:00
,시,즉흥시,"즉흥시 연습 (시간과 흐름, 대조적 묘사형): 단편적 서사로 3~5행의 즉흥시를 완성하세요. 단어: '길모퉁이, 검은 하늘, 고요'",쉬움,"[길모퉁이, 검은 하늘, 고요]",52,2025-07-17 14:19:00
