id,category,type,prompt,difficulty,keywords,length,created_at
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 서리 낀 초원, 빛과 어둠이 대비되는 시: 주제 '서리 낀 초원'를 빛과 어둠이 대비되는 느낌으로 한 문장 시로 만드세요. (단어: 빛 없는 하늘, 검은 강물, 황혼의 구름)",어려움,"[빛 없는 하늘, 검은 강물, 황혼의 구름]",57,2025-07-14 13:20:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 은빛으로 덮인 바다, 빛과 어둠이 대비되는 시: 주제 '은빛으로 덮인 바다'를 심연을 묘사하는 느낌으로 한 문장 시를 작성하세요. (단어: 서리 낀 하늘, 서리 낀 연못, 푸른 하늘빛)",어려움,"[서리 낀 하늘, 서리 낀 연못, 푸른 하늘빛]",68,2025-07-14 13:19:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 검은 숲의 바람, 서정적이면서 단조로운 시: 주제 '검은 숲의 바람'를 은유와 상징으로 한 문장 시로 작성하세요. (단어: 붉은 불씨, 차갑게 언 하늘빛, 붉은 구름)",어려움,"[붉은 불씨, 차갑게 언 하늘빛, 붉은 구름]",53,2025-07-14 13:18:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 황혼빛 언덕, 심연을 묘사하는 시: 주제 '황혼빛 언덕'를 은유와 상징으로 한 문장 시로 작성하세요. (단어: 빛 없는 길, 별빛 강가, 푸른 조개)",어려움,"[빛 없는 길, 별빛 강가, 푸른 조개]",41,2025-07-14 13:17:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 고요히 부서진 달빛, 심연을 묘사하는 시: 주제 '고요히 부서진 달빛'를 몽환적 상징으로 한 문장 시를 작성하세요. (단어: 차갑게 언 하늘, 은빛 잔해, 은빛 달빛)",어려움,"[차갑게 언 하늘, 은빛 잔해, 은빛 달빛]",42,2025-07-14 13:16:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 안개 속 폐허, 서사적 흐름을 가진 시: 주제 '안개 속 폐허'를 고요와 긴장감을 교차해 한 문장 시를 작성하세요. (단어: 붉은 하늘, 푸른 불빛, 은빛 이슬)",어려움,"[붉은 하늘, 푸른 불빛, 은빛 이슬]",50,2025-07-14 13:15:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 서리 낀 초원, 대구와 반복이 있는 시: 주제 '서리 낀 초원'를 심연을 묘사하는 느낌으로 한 문장 시를 작성하세요. (단어: 빛 없는 별빛, 차갑게 언 나무, 별빛 유리)",어려움,"[빛 없는 별빛, 차갑게 언 나무, 별빛 유리]",66,2025-07-14 13:14:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 검은 숲의 바람, 빛과 어둠이 대비되는 시: 주제 '검은 숲의 바람'를 심연을 묘사하는 느낌으로 한 문장 시를 작성하세요. (단어: 빛바랜 별자리, 빛 없는 초원, 황혼빛 초원)",어려움,"[빛바랜 별자리, 빛 없는 초원, 황혼빛 초원]",68,2025-07-14 13:13:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 서리 낀 초원, 파편적 이미지의 시: 주제 '서리 낀 초원'를 대구와 반복으로 한 문장 시를 작성하세요. (단어: 빛 없는 계곡, 은빛 초승, 서리 낀 안개)",어려움,"[빛 없는 계곡, 은빛 초승, 서리 낀 안개]",53,2025-07-14 13:12:00
,시,한 문장 시 (입시),"한 문장 시 연습 (입시 대비) - 황혼빛 언덕, 빛과 어둠이 대비되는 시: 주제 '황혼빛 언덕'를 은유와 상징으로 한 문장 시로 작성하세요. (단어: 잿빛 초원, 흐린 파편, 별빛 불꽃)",어려움,"[잿빛 초원, 흐린 파편, 별빛 불꽃]",59,2025-07-14 13:11:00
