id,category,type,prompt,difficulty,keywords,length,created_at
,시,한 문장 시,"한 문장 시 연습 (사랑, 단편적 서사): 주제 '사랑'를 반복적 리듬으로 한 문장 시를 작성하세요. (단어: 침묵, 황금빛, 눈부신 별빛)",중간,"[침묵, 황금빛, 눈부신 별빛]",67,2025-07-15 09:20:00
,시,한 문장 시,"한 문장 시 연습 (계절, 현대적 간결함): 주제 '계절'를 강렬한 감정으로 담아 한 문장 시로 만드세요. (단어: 소리, 푸른 하늘, 모래)",중간,"[소리, 푸른 하늘, 모래]",51,2025-07-15 09:19:00
,시,한 문장 시,"한 문장 시 연습 (계절, 고전적 운율): 주제 '계절'를 속삭임 같은 어조로 한 문장 시를 만들어 보세요. (단어: 조약돌, 빛살, 흐린 별자리)",중간,"[조약돌, 빛살, 흐린 별자리]",61,2025-07-15 09:18:00
,시,한 문장 시,"한 문장 시 연습 (계절, 현대적 간결함): 주제 '계절'를 고전적 운율로 한 문장 시로 표현하세요. (단어: 빛 없는 길, 고요한 별빛, 강물)",중간,"[빛 없는 길, 고요한 별빛, 강물]",77,2025-07-15 09:17:00
,시,한 문장 시,"한 문장 시 연습 (시간, 속삭임 같은 어조): 주제 '시간'를 강렬한 감정으로 담아 한 문장 시로 만드세요. (단어: 차갑게 언 계곡, 은빛 하늘빛, 풀내음)",어려움,"[차갑게 언 계곡, 은빛 하늘빛, 풀내음]",70,2025-07-15 09:16:00
,시,한 문장 시,"한 문장 시 연습 (고요, 단편적 서사): 주제 '고요'를 반복적 리듬으로 한 문장 시를 작성하세요. (단어: 서리, 빛 없는 하늘, 달빛)",쉬움,"[서리, 빛 없는 하늘, 달빛]",65,2025-07-15 09:15:00
,시,한 문장 시,"한 문장 시 연습 (고독, 비유와 상징): 주제 '고독'를 단편적 서사로 한 문장 시를 작성하세요. (단어: 초승달, 파도, 황혼빛 노을)",중간,"[초승달, 파도, 황혼빛 노을]",54,2025-07-15 09:14:00
,시,한 문장 시,"한 문장 시 연습 (추억, 강렬한 감정): 주제 '추억'를 고전적 운율로 한 문장 시로 표현하세요. (단어: 붉은 물결, 황혼의 잎새, 고요)",중간,"[붉은 물결, 황혼의 잎새, 고요]",40,2025-07-15 09:13:00
,시,한 문장 시,"한 문장 시 연습 (사랑, 현대적 간결함): 주제 '사랑'를 강렬한 감정으로 담아 한 문장 시로 만드세요. (단어: 별빛 초승, 포근한 공기, 연기)",중간,"[별빛 초승, 포근한 공기, 연기]",35,2025-07-15 09:12:00
,시,한 문장 시,"한 문장 시 연습 (추억, 단편적 서사): 주제 '추억'를 반복적 리듬으로 한 문장 시를 작성하세요. (단어: 붉은 별빛, 잿빛 초원, 은빛)",중간,"[붉은 별빛, 잿빛 초원, 은빛]",53,2025-07-15 09:11:00
,시,한 문장 시,"한 문장 시 연습 (변화, 강렬한 감정): 주제 '변화'를 속삭임 같은 어조로 한 문장 시를 만들어 보세요. (단어: 고요한 공기, 눈송이, 소리 없는 폭풍)",쉬움,"[고요한 공기, 눈송이, 소리 없는 폭풍]",58,2025-07-15 09:10:00
,시,한 문장 시,"한 문장 시 연습 (고독, 강렬한 감정): 주제 '고독'를 반복적 리듬으로 한 문장 시를 작성하세요. (단어: 연못, 나무결, 푸른 잎새)",쉬움,"[연못, 나무결, 푸른 잎새]",65,2025-07-15 09:09:00
,시,한 문장 시,"한 문장 시 연습 (고독, 단편적 서사): 주제 '고독'를 비유와 상징으로 한 문장 시로 만드세요. (단어: 고드름, 황금빛 초원, 바람소리)",어려움,"[고드름, 황금빛 초원, 바람소리]",60,2025-07-15 09:08:00
,시,한 문장 시,"한 문장 시 연습 (별빛, 속삭임 같은 어조): 주제 '별빛'를 몽환적으로 표현한 한 문장 시를 작성하세요. (단어: 잔디, 희망의 불씨, 차갑게 언 돌)",어려움,"[잔디, 희망의 불씨, 차갑게 언 돌]",68,2025-07-15 09:07:00
,시,한 문장 시,"한 문장 시 연습 (꿈, 고요하고 서정적): 주제 '꿈'를 고요하고 서정적으로 한 문장 시로 표현하세요. (단어: 별빛 조각, 은빛 강, 황혼의 노을)",어려움,"[별빛 조각, 은빛 강, 황혼의 노을]",65,2025-07-15 09:06:00
,시,한 문장 시,"한 문장 시 연습 (시간, 단편적 서사): 주제 '시간'를 반복적 리듬으로 한 문장 시를 작성하세요. (단어: 부드러운 안개, 흐린 창, 별빛 유리)",어려움,"[부드러운 안개, 흐린 창, 별빛 유리]",34,2025-07-15 09:05:00
,시,한 문장 시,"한 문장 시 연습 (고요, 고요하고 서정적): 주제 '고요'를 고전적 운율로 한 문장 시로 표현하세요. (단어: 낙엽, 희미한 그림자, 붉은 구름)",중간,"[낙엽, 희미한 그림자, 붉은 구름]",53,2025-07-15 09:04:00
,시,한 문장 시,"한 문장 시 연습 (고요, 비유와 상징): 주제 '고요'를 고요하고 서정적으로 한 문장 시로 표현하세요. (단어: 서리 낀 가지, 빗소리, 시계)",쉬움,"[서리 낀 가지, 빗소리, 시계]",52,2025-07-15 09:03:00
,시,한 문장 시,"한 문장 시 연습 (추억, 속삭임 같은 어조): 주제 '추억'를 단편적 서사로 한 문장 시를 작성하세요. (단어: 푸른 유성, 서리 내린 초원, 푸른 조개)",쉬움,"[푸른 유성, 서리 내린 초원, 푸른 조개]",33,2025-07-15 09:02:00
,시,한 문장 시,"한 문장 시 연습 (시간, 은유적): 주제 '시간'를 현대적 간결함으로 한 문장 시를 작성하세요. (단어: 노랫소리, 흐린 파편, 밤바다)",중간,"[노랫소리, 흐린 파편, 밤바다]",59,2025-07-15 09:01:00
,시,한 문장 시,"한 문장 시 연습 (고요, 현대적 간결함): 주제 '고요'를 은유적으로 표현한 한 문장 시를 작성하세요. (단어: 고요한 바람, 밤의 길, 황혼빛)",중간,"[고요한 바람, 밤의 길, 황혼빛]",68,2025-07-15 09:00:00
