id,category,type,prompt,difficulty,keywords,length,created_at
,시,한 문장 시,"한 문장 시 연습 (별 없는 하늘, 몽환적 상징): 주제 '별 없는 하늘'를 심리적 울림으로 한 문장 시로 표현하세요. (단어: 달빛 조각, 서리 낀 강, 차가운 공기)",중간,"[달빛 조각, 서리 낀 강, 차가운 공기]",71,2025-07-15 02:40:00
,시,한 문장 시,"한 문장 시 연습 (빛이 스미는 창, 강렬한 대비): 주제 '빛이 스미는 창'를 파편적 이미지로 한 문장 시로 표현하세요. (단어: 황금빛 강물, 차가운 유리, 고요한 숲)",쉬움,"[황금빛 강물, 차가운 유리, 고요한 숲]",52,2025-07-15 02:39:00
,시,한 문장 시,"한 문장 시 연습 (조용한 숲길, 빛과 어둠을 교차시키는 시): 주제 '조용한 숲길'를 심리적 울림으로 한 문장 시로 표현하세요. (단어: 황혼의 불빛, 밤의 초승, 푸른 모래)",중간,"[황혼의 불빛, 밤의 초승, 푸른 모래]",77,2025-07-15 02:38:00
,시,한 문장 시,"한 문장 시 연습 (어두운 바다, 은유적 서사): 주제 '어두운 바다'를 속삭이는 어조로 한 문장 시를 작성하세요. (단어: 고요한 초원, 차갑게 언 초원, 빛바랜 하늘)",중간,"[고요한 초원, 차갑게 언 초원, 빛바랜 하늘]",56,2025-07-15 02:37:00
,시,한 문장 시,"한 문장 시 연습 (사라진 기억, 강렬한 대비): 주제 '사라진 기억'를 느릿한 리듬으로 한 문장 시를 작성하세요. (단어: 검은 하늘, 흐린 파편, 불 꺼진 등대)",쉬움,"[검은 하늘, 흐린 파편, 불 꺼진 등대]",74,2025-07-15 02:36:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 긴장감이 감도는 톤): 주제 '황혼의 불빛'를 느릿한 리듬으로 한 문장 시를 작성하세요. (단어: 은빛 초승, 검은 하늘빛, 차갑게 언 돌)",어려움,"[은빛 초승, 검은 하늘빛, 차갑게 언 돌]",34,2025-07-15 02:35:00
,시,한 문장 시,"한 문장 시 연습 (별 없는 하늘, 강렬한 대비): 주제 '별 없는 하늘'를 긴장감이 감도는 톤으로 한 문장 시를 작성하세요. (단어: 은빛 잔해, 빛바랜 잎새, 별빛 흔적)",쉬움,"[은빛 잔해, 빛바랜 잎새, 별빛 흔적]",68,2025-07-15 02:34:00
,시,한 문장 시,"한 문장 시 연습 (어두운 바다, 파편적 이미지 중심): 주제 '어두운 바다'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 흐릿한 물결, 별빛 불꽃, 별자리 조각)",어려움,"[흐릿한 물결, 별빛 불꽃, 별자리 조각]",47,2025-07-15 02:33:00
,시,한 문장 시,"한 문장 시 연습 (고요한 골목, 강렬한 대비): 주제 '고요한 골목'를 은유적 서사로 한 문장 시를 작성하세요. (단어: 서리 낀 안개, 차갑게 언 가지, 달빛 불씨)",쉬움,"[서리 낀 안개, 차갑게 언 가지, 달빛 불씨]",54,2025-07-15 02:32:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 은유적 서사): 주제 '황혼의 불빛'를 느릿한 리듬으로 한 문장 시를 작성하세요. (단어: 서리 낀 초승, 은빛 하늘빛, 빛바랜 계곡)",어려움,"[서리 낀 초승, 은빛 하늘빛, 빛바랜 계곡]",75,2025-07-15 02:31:00
,시,한 문장 시,"한 문장 시 연습 (어두운 바다, 속삭이는 듯한 어조): 주제 '어두운 바다'를 느릿한 리듬으로 한 문장 시를 작성하세요. (단어: 밤의 그림자, 달빛 초승, 붉은 구름)",쉬움,"[밤의 그림자, 달빛 초승, 붉은 구름]",34,2025-07-15 02:30:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 빛과 어둠을 교차시키는 시): 주제 '황혼의 불빛'를 심리적 울림으로 한 문장 시로 표현하세요. (단어: 별빛 유리, 달 그림자, 차가운 돌길)",중간,"[별빛 유리, 달 그림자, 차가운 돌길]",64,2025-07-15 02:29:00
,시,한 문장 시,"한 문장 시 연습 (잊혀진 풍경, 심리적 울림): 주제 '잊혀진 풍경'를 긴장감이 감도는 톤으로 한 문장 시를 작성하세요. (단어: 노을빛 바다, 붉은 하늘빛, 거친 바람)",어려움,"[노을빛 바다, 붉은 하늘빛, 거친 바람]",49,2025-07-15 02:28:00
,시,한 문장 시,"한 문장 시 연습 (바람이 머무는 곳, 심리적 울림): 주제 '바람이 머무는 곳'를 몽환적 상징으로 한 문장 시를 작성하세요. (단어: 푸른 조개, 흐린 파도, 잿빛 구름)",중간,"[푸른 조개, 흐린 파도, 잿빛 구름]",62,2025-07-15 02:27:00
,시,한 문장 시,"한 문장 시 연습 (별 없는 하늘, 느릿한 리듬): 주제 '별 없는 하늘'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 검은 별빛, 푸른 유리, 흐린 바다)",어려움,"[검은 별빛, 푸른 유리, 흐린 바다]",78,2025-07-15 02:26:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 단조로운 운율): 주제 '황혼의 불빛'를 빛과 어둠이 교차하는 이미지로 한 문장 시로 만드세요. (단어: 젖은 낙엽, 흐릿한 새벽, 푸른 연못)",중간,"[젖은 낙엽, 흐릿한 새벽, 푸른 연못]",38,2025-07-15 02:25:00
,시,한 문장 시,"한 문장 시 연습 (빛이 스미는 창, 느릿한 리듬): 주제 '빛이 스미는 창'를 은유적 서사로 한 문장 시를 작성하세요. (단어: 차가운 별빛, 황혼의 잔해, 푸른 불씨)",중간,"[차가운 별빛, 황혼의 잔해, 푸른 불씨]",68,2025-07-15 02:24:00
,시,한 문장 시,"한 문장 시 연습 (어두운 바다, 긴장감이 감도는 톤): 주제 '어두운 바다'를 빛과 어둠이 교차하는 이미지로 한 문장 시로 만드세요. (단어: 흐린 구름, 황금빛 모래, 별빛의 파편)",어려움,"[흐린 구름, 황금빛 모래, 별빛의 파편]",66,2025-07-15 02:23:00
,시,한 문장 시,"한 문장 시 연습 (잊혀진 풍경, 속삭이는 듯한 어조): 주제 '잊혀진 풍경'를 은유적 서사로 한 문장 시를 작성하세요. (단어: 빛바랜 불빛, 황혼빛 강물, 흐린 새벽빛)",중간,"[빛바랜 불빛, 황혼빛 강물, 흐린 새벽빛]",79,2025-07-15 02:22:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 파편적 이미지 중심): 주제 '황혼의 불빛'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 차가운 달빛, 푸른 바위, 서리 낀 별자리)",쉬움,"[차가운 달빛, 푸른 바위, 서리 낀 별자리]",63,2025-07-15 02:21:00
,시,한 문장 시,"한 문장 시 연습 (빛이 스미는 창, 파편적 이미지 중심): 주제 '빛이 스미는 창'를 단조로운 운율로 한 문장 시를 작성하세요. (단어: 파란 바위, 은빛 물안개, 달빛 모래)",쉬움,"[파란 바위, 은빛 물안개, 달빛 모래]",79,2025-07-15 02:20:00
,시,한 문장 시,"한 문장 시 연습 (어두운 바다, 심리적 울림): 주제 '어두운 바다'를 긴장감이 감도는 톤으로 한 문장 시를 작성하세요. (단어: 푸른 잎, 밤하늘 조각, 서리 낀 계곡)",중간,"[푸른 잎, 밤하늘 조각, 서리 낀 계곡]",39,2025-07-15 02:19:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 속삭이는 듯한 어조): 주제 '황혼의 불빛'를 몽환적 상징으로 한 문장 시를 작성하세요. (단어: 흐린 물안개, 얼어붙은 연못, 고요한 강물)",어려움,"[흐린 물안개, 얼어붙은 연못, 고요한 강물]",73,2025-07-15 02:18:00
,시,한 문장 시,"한 문장 시 연습 (밤의 정적, 몽환적 상징): 주제 '밤의 정적'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 노을빛 하늘, 서리 낀 바람, 고요한 하늘)",쉬움,"[노을빛 하늘, 서리 낀 바람, 고요한 하늘]",74,2025-07-15 02:17:00
,시,한 문장 시,"한 문장 시 연습 (밤의 정적, 몽환적 상징): 주제 '밤의 정적'를 긴장감이 감도는 톤으로 한 문장 시를 작성하세요. (단어: 밤의 불빛, 속삭이는 파도, 철길 그림자)",쉬움,"[밤의 불빛, 속삭이는 파도, 철길 그림자]",55,2025-07-15 02:16:00
,시,한 문장 시,"한 문장 시 연습 (바람이 머무는 곳, 심리적 울림): 주제 '바람이 머무는 곳'를 단조로운 운율로 한 문장 시를 작성하세요. (단어: 흐린 불씨, 서리 낀 가지, 별빛 조각)",중간,"[흐린 불씨, 서리 낀 가지, 별빛 조각]",46,2025-07-15 02:15:00
,시,한 문장 시,"한 문장 시 연습 (빛이 스미는 창, 긴장감이 감도는 톤): 주제 '빛이 스미는 창'를 파편적 이미지로 한 문장 시로 표현하세요. (단어: 황금빛 초승, 푸른 물결, 황금빛 하늘)",어려움,"[황금빛 초승, 푸른 물결, 황금빛 하늘]",34,2025-07-15 02:14:00
,시,한 문장 시,"한 문장 시 연습 (사라진 기억, 심리적 울림): 주제 '사라진 기억'를 파편적 이미지로 한 문장 시로 표현하세요. (단어: 황혼빛 초원, 노을빛 파편, 푸른 하늘빛)",중간,"[황혼빛 초원, 노을빛 파편, 푸른 하늘빛]",63,2025-07-15 02:13:00
,시,한 문장 시,"한 문장 시 연습 (고요한 골목, 강렬한 대비): 주제 '고요한 골목'를 속삭이는 어조로 한 문장 시를 작성하세요. (단어: 푸른 불꽃, 고요한 바람결, 별빛 가루)",어려움,"[푸른 불꽃, 고요한 바람결, 별빛 가루]",48,2025-07-15 02:12:00
,시,한 문장 시,"한 문장 시 연습 (잊혀진 풍경, 빛과 어둠을 교차시키는 시): 주제 '잊혀진 풍경'를 느릿한 리듬으로 한 문장 시를 작성하세요. (단어: 서리 낀 숲, 붉은 파편, 검은 파도)",중간,"[서리 낀 숲, 붉은 파편, 검은 파도]",80,2025-07-15 02:11:00
,시,한 문장 시,"한 문장 시 연습 (잊혀진 풍경, 느릿한 리듬): 주제 '잊혀진 풍경'를 은유적 서사로 한 문장 시를 작성하세요. (단어: 고요한 들판, 붉은 안개, 별빛 연못)",어려움,"[고요한 들판, 붉은 안개, 별빛 연못]",32,2025-07-15 02:10:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 몽환적 상징): 주제 '황혼의 불빛'를 긴장감이 감도는 톤으로 한 문장 시를 작성하세요. (단어: 흐린 유리, 별빛 노을, 회색 안개)",어려움,"[흐린 유리, 별빛 노을, 회색 안개]",63,2025-07-15 02:09:00
,시,한 문장 시,"한 문장 시 연습 (바람이 머무는 곳, 몽환적 상징): 주제 '바람이 머무는 곳'를 단조로운 운율로 한 문장 시를 작성하세요. (단어: 노을빛 그림자, 황혼의 바람, 밤하늘 유성)",어려움,"[노을빛 그림자, 황혼의 바람, 밤하늘 유성]",38,2025-07-15 02:08:00
,시,한 문장 시,"한 문장 시 연습 (빛이 스미는 창, 빛과 어둠을 교차시키는 시): 주제 '빛이 스미는 창'를 느릿한 리듬으로 한 문장 시를 작성하세요. (단어: 고요한 바람결, 서리 낀 가지, 노을빛 그림자)",중간,"[고요한 바람결, 서리 낀 가지, 노을빛 그림자]",78,2025-07-15 02:07:00
,시,한 문장 시,"한 문장 시 연습 (빛이 스미는 창, 파편적 이미지 중심): 주제 '빛이 스미는 창'를 단조로운 운율로 한 문장 시를 작성하세요. (단어: 거친 바람, 고요한 바람결, 별빛 가루)",쉬움,"[거친 바람, 고요한 바람결, 별빛 가루]",33,2025-07-15 02:06:00
,시,한 문장 시,"한 문장 시 연습 (고요한 골목, 긴장감이 감도는 톤): 주제 '고요한 골목'를 긴장감이 감도는 톤으로 한 문장 시를 작성하세요. (단어: 서리 낀 계곡, 별빛 조각, 서리 낀 안개)",어려움,"[서리 낀 계곡, 별빛 조각, 서리 낀 안개]",75,2025-07-15 02:05:00
,시,한 문장 시,"한 문장 시 연습 (사라진 기억, 긴장감이 감도는 톤): 주제 '사라진 기억'를 속삭이는 어조로 한 문장 시를 작성하세요. (단어: 차갑게 언 돌, 별빛 조각, 황혼의 불빛)",어려움,"[차갑게 언 돌, 별빛 조각, 황혼의 불빛]",61,2025-07-15 02:04:00
,시,한 문장 시,"한 문장 시 연습 (바람이 머무는 곳, 느릿한 리듬): 주제 '바람이 머무는 곳'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 차가운 돌길, 푸른 불씨, 황혼의 바람)",쉬움,"[차가운 돌길, 푸른 불씨, 황혼의 바람]",36,2025-07-15 02:03:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 몽환적 상징): 주제 '황혼의 불빛'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 푸른 유리, 밤의 불빛, 차갑게 언 초원)",어려움,"[푸른 유리, 밤의 불빛, 차갑게 언 초원]",62,2025-07-15 02:02:00
,시,한 문장 시,"한 문장 시 연습 (고요한 골목, 느릿한 리듬): 주제 '고요한 골목'를 파편적 이미지로 한 문장 시로 표현하세요. (단어: 황혼의 불빛, 차가운 공기, 별빛 노을)",중간,"[황혼의 불빛, 차가운 공기, 별빛 노을]",75,2025-07-15 02:01:00
,시,한 문장 시,"한 문장 시 연습 (빛이 스미는 창, 느릿한 리듬): 주제 '빛이 스미는 창'를 파편적 이미지로 한 문장 시로 표현하세요. (단어: 노을빛 하늘, 밤의 그림자, 차가운 공기)",중간,"[노을빛 하늘, 밤의 그림자, 차가운 공기]",65,2025-07-15 02:00:00
,시,한 문장 시,"한 문장 시 연습 (사라진 기억, 단조로운 운율): 주제 '사라진 기억'를 속삭이는 어조로 한 문장 시를 작성하세요. (단어: 별자리 조각, 차가운 돌길, 붉은 하늘빛)",쉬움,"[별자리 조각, 차가운 돌길, 붉은 하늘빛]",66,2025-07-15 01:59:00
,시,한 문장 시,"한 문장 시 연습 (어두운 바다, 강렬한 대비): 주제 '어두운 바다'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 흐릿한 새벽, 흐린 파도, 푸른 하늘빛)",쉬움,"[흐릿한 새벽, 흐린 파도, 푸른 하늘빛]",51,2025-07-15 01:58:00
,시,한 문장 시,"한 문장 시 연습 (고요한 골목, 파편적 이미지 중심): 주제 '고요한 골목'를 은유적 서사로 한 문장 시를 작성하세요. (단어: 빛바랜 잎새, 차갑게 언 초원, 고요한 강물)",쉬움,"[빛바랜 잎새, 차갑게 언 초원, 고요한 강물]",38,2025-07-15 01:57:00
,시,한 문장 시,"한 문장 시 연습 (어두운 바다, 심리적 울림): 주제 '어두운 바다'를 빛과 어둠이 교차하는 이미지로 한 문장 시로 만드세요. (단어: 빛바랜 계곡, 차가운 별빛, 흐린 새벽빛)",어려움,"[빛바랜 계곡, 차가운 별빛, 흐린 새벽빛]",42,2025-07-15 01:56:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 빛과 어둠을 교차시키는 시): 주제 '황혼의 불빛'를 은유적 서사로 한 문장 시를 작성하세요. (단어: 젖은 낙엽, 흐릿한 새벽, 흐린 물안개)",중간,"[젖은 낙엽, 흐릿한 새벽, 흐린 물안개]",31,2025-07-15 01:55:00
,시,한 문장 시,"한 문장 시 연습 (밤의 정적, 은유적 서사): 주제 '밤의 정적'를 긴장감이 감도는 톤으로 한 문장 시를 작성하세요. (단어: 빛바랜 계곡, 빛바랜 하늘, 회색 안개)",어려움,"[빛바랜 계곡, 빛바랜 하늘, 회색 안개]",41,2025-07-15 01:54:00
,시,한 문장 시,"한 문장 시 연습 (바람이 머무는 곳, 강렬한 대비): 주제 '바람이 머무는 곳'를 단조로운 운율로 한 문장 시를 작성하세요. (단어: 푸른 하늘빛, 별빛 불꽃, 서리 낀 바람)",쉬움,"[푸른 하늘빛, 별빛 불꽃, 서리 낀 바람]",73,2025-07-15 01:53:00
,시,한 문장 시,"한 문장 시 연습 (고요한 골목, 단조로운 운율): 주제 '고요한 골목'를 파편적 이미지로 한 문장 시로 표현하세요. (단어: 은빛 물안개, 달빛 초승, 거친 바람)",중간,"[은빛 물안개, 달빛 초승, 거친 바람]",37,2025-07-15 01:52:00
,시,한 문장 시,"한 문장 시 연습 (바람이 머무는 곳, 강렬한 대비): 주제 '바람이 머무는 곳'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 고요한 초원, 빛바랜 계곡, 푸른 하늘빛)",어려움,"[고요한 초원, 빛바랜 계곡, 푸른 하늘빛]",37,2025-07-15 01:51:00
,시,한 문장 시,"한 문장 시 연습 (빛이 스미는 창, 속삭이는 듯한 어조): 주제 '빛이 스미는 창'를 은유적 서사로 한 문장 시를 작성하세요. (단어: 푸른 불씨, 붉은 파편, 황혼의 잔해)",쉬움,"[푸른 불씨, 붉은 파편, 황혼의 잔해]",51,2025-07-15 01:50:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 파편적 이미지 중심): 주제 '황혼의 불빛'를 단조로운 운율로 한 문장 시를 작성하세요. (단어: 빛바랜 불빛, 고요한 강물, 차가운 공기)",어려움,"[빛바랜 불빛, 고요한 강물, 차가운 공기]",44,2025-07-15 01:49:00
,시,한 문장 시,"한 문장 시 연습 (밤의 정적, 파편적 이미지 중심): 주제 '밤의 정적'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 차가운 달빛, 황금빛 강물, 달빛 모래)",어려움,"[차가운 달빛, 황금빛 강물, 달빛 모래]",33,2025-07-15 01:48:00
,시,한 문장 시,"한 문장 시 연습 (잊혀진 풍경, 은유적 서사): 주제 '잊혀진 풍경'를 강렬한 대비로 한 문장 시로 만드세요. (단어: 서리 낀 바람, 흐린 구름, 불 꺼진 등대)",쉬움,"[서리 낀 바람, 흐린 구름, 불 꺼진 등대]",38,2025-07-15 01:47:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 긴장감이 감도는 톤): 주제 '황혼의 불빛'를 은유적 서사로 한 문장 시를 작성하세요. (단어: 차가운 공기, 황금빛 강물, 푸른 모래)",쉬움,"[차가운 공기, 황금빛 강물, 푸른 모래]",64,2025-07-15 01:46:00
,시,한 문장 시,"한 문장 시 연습 (황혼의 불빛, 파편적 이미지 중심): 주제 '황혼의 불빛'를 몽환적 상징으로 한 문장 시를 작성하세요. (단어: 흐린 바다, 흐린 유리, 서리 낀 안개)",어려움,"[흐린 바다, 흐린 유리, 서리 낀 안개]",46,2025-07-15 01:45:00
,시,한 문장 시,"한 문장 시 연습 (어두운 바다, 느릿한 리듬): 주제 '어두운 바다'를 빛과 어둠이 교차하는 이미지로 한 문장 시로 만드세요. (단어: 젖은 낙엽, 푸른 바위, 서리 낀 초승)",중간,"[젖은 낙엽, 푸른 바위, 서리 낀 초승]",73,2025-07-15 01:44:00
,시,한 문장 시,"한 문장 시 연습 (별 없는 하늘, 느릿한 리듬): 주제 '별 없는 하늘'를 느릿한 리듬으로 한 문장 시를 작성하세요. (단어: 푸른 불꽃, 차가운 달빛, 푸른 물결)",중간,"[푸른 불꽃, 차가운 달빛, 푸른 물결]",69,2025-07-15 01:43:00
,시,한 문장 시,"한 문장 시 연습 (고요한 골목, 강렬한 대비): 주제 '고요한 골목'를 심리적 울림으로 한 문장 시로 표현하세요. (단어: 고요한 강물, 황혼의 바람, 황금빛 초승)",어려움,"[고요한 강물, 황혼의 바람, 황금빛 초승]",42,2025-07-15 01:42:00
,시,한 문장 시,"한 문장 시 연습 (밤의 정적, 심리적 울림): 주제 '밤의 정적'를 단조로운 운율로 한 문장 시를 작성하세요. (단어: 흐린 구름, 서리 낀 바람, 황혼빛 강물)",어려움,"[흐린 구름, 서리 낀 바람, 황혼빛 강물]",78,2025-07-15 01:41:00
,시,한 문장 시,"한 문장 시 연습 (사라진 기억, 파편적 이미지 중심): 주제 '사라진 기억'를 파편적 이미지로 한 문장 시로 표현하세요. (단어: 차갑게 언 돌, 검은 별빛, 흐린 구름)",중간,"[차갑게 언 돌, 검은 별빛, 흐린 구름]",37,2025-07-15 01:40:00
