id,category,type,prompt,difficulty,keywords,length,created_at
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",중간,"[청록빛, 바람 부는 언덕, 은빛 별빛]",110,2025-07-20 13:37:09
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",쉬움,"[바람 부는 바다, 차가운 해변, 반짝이는 모래]",117,2025-07-20 13:36:09
,시,운율 맞추기,"리듬이 일정하다가 마지막 행에서 끊기는 4행 시를 작성하세요. 각 줄은 5,5,5,3글자로 구성하세요.",중간,"[새벽녘 바람, 하얀 파편, 회색 초원]",98,2025-07-20 13:35:09
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",중간,"[고요한 들판, 적막한 새벽, 은빛 초원]",75,2025-07-20 13:34:09
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",쉬움,"[푸른 강물, 별이 진 하늘, 붉은 노을빛]",130,2025-07-20 13:33:09
,시,운율 맞추기,모든 단어가 'ㄱ'으로 시작하는 5단어 문장을 작성하세요. 자연과 계절을 주제로 하세요.,어려움,"[흐린 노을, 서늘한 안개, 초승달빛]",72,2025-07-20 13:32:09
,시,운율 맞추기,끝소리를 '-다'로 맞추는 3행 시를 작성하세요. 각 줄은 6~9글자로 구성하세요.,어려움,"[푸른 바다결, 흰 빛살, 황금빛 나뭇잎]",86,2025-07-20 13:31:09
,시,운율 맞추기,"제시된 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",쉬움,"[빛바랜 달, 어두운 호수, 조용한 계곡]",77,2025-07-20 13:30:09
,시,운율 맞추기,"제시된 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",중간,"[희미한 별, 작은 섬, 회색 하늘빛]",89,2025-07-20 13:29:09
,시,운율 맞추기,"리듬이 일정하다가 마지막 행에서 끊기는 4행 시를 작성하세요. 각 줄은 5,5,5,3글자로 구성하세요.",중간,"[어두운 골짜기, 안개 드리운 산, 별빛 안개]",107,2025-07-20 13:28:09
,시,운율 맞추기,"4음보 리듬으로 3행 시를 작성하세요. 각 음보는 4글자, 감정의 변화를 표현하세요.",쉬움,"[푸른 산맥, 붉은 해안선, 새벽의 바람]",97,2025-07-20 13:27:09
,시,운율 맞추기,"첫 줄은 5글자, 둘째 줄은 7글자, 셋째 줄은 5글자로 하이쿠 형식 시를 작성하세요.",어려움,"[은빛 갈대, 서리 낀 창, 구름 낀 달]",79,2025-07-20 13:26:09
,시,운율 맞추기,"4음보 리듬으로 3행 시를 작성하세요. 각 음보는 4글자, 감정의 변화를 표현하세요.",어려움,"[황혼의 들길, 하얀 새벽, 비 오는 숲]",79,2025-07-20 13:25:09
,시,운율 맞추기,"장단이 교차되는 2행 시를 작성하세요. 첫 행은 6글자, 둘째 행은 4글자로 구성하세요.",어려움,"[푸른 강물, 조용한 계곡, 반짝이는 모래]",95,2025-07-20 13:24:09
,시,운율 맞추기,"4음보 리듬으로 3행 시를 작성하세요. 각 음보는 4글자, 감정의 변화를 표현하세요.",중간,"[차가운 해변, 푸른 강물, 반짝이는 모래]",116,2025-07-20 13:23:09
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",쉬움,"[안개 드리운 산, 밤의 호수, 서늘한 안개]",75,2025-07-20 13:22:09
,시,운율 맞추기,모든 단어가 'ㄱ'으로 시작하는 5단어 문장을 작성하세요. 자연과 계절을 주제로 하세요.,쉬움,"[반짝이는 모래, 회색 하늘빛, 청록빛]",63,2025-07-20 13:21:09
,시,운율 맞추기,모든 단어가 'ㄱ'으로 시작하는 5단어 문장을 작성하세요. 자연과 계절을 주제로 하세요.,어려움,"[구름 낀 달, 빛바랜 달, 작은 섬]",111,2025-07-20 13:20:09
,시,운율 맞추기,"장단이 교차되는 2행 시를 작성하세요. 첫 행은 6글자, 둘째 행은 4글자로 구성하세요.",어려움,"[푸른 바다결, 흐린 노을, 붉은 노을빛]",60,2025-07-20 13:19:09
,시,운율 맞추기,"장단이 교차되는 2행 시를 작성하세요. 첫 행은 6글자, 둘째 행은 4글자로 구성하세요.",어려움,"[푸른 바다결, 바람 부는 언덕, 흐린 노을]",123,2025-07-20 13:18:09
,시,운율 맞추기,모든 단어가 'ㄱ'으로 시작하는 5단어 문장을 작성하세요. 자연과 계절을 주제로 하세요.,어려움,"[은빛 별빛, 안개 드리운 산, 바람 부는 바다]",62,2025-07-20 13:17:09
,시,운율 맞추기,"리듬이 일정하다가 마지막 행에서 끊기는 4행 시를 작성하세요. 각 줄은 5,5,5,3글자로 구성하세요.",쉬움,"[서늘한 안개, 적막한 새벽, 고요한 들판]",93,2025-07-20 13:16:09
,시,운율 맞추기,"4음보 리듬으로 3행 시를 작성하세요. 각 음보는 4글자, 감정의 변화를 표현하세요.",중간,"[희미한 별, 적막한 새벽, 작은 섬]",97,2025-07-20 13:15:09
,시,운율 맞추기,"장단이 교차되는 2행 시를 작성하세요. 첫 행은 6글자, 둘째 행은 4글자로 구성하세요.",어려움,"[하얀 새벽, 조용한 계곡, 고요한 들판]",76,2025-07-20 13:14:09
,시,운율 맞추기,"4음보 리듬으로 3행 시를 작성하세요. 각 음보는 4글자, 감정의 변화를 표현하세요.",어려움,"[어두운 골짜기, 안개 드리운 산, 바람 부는 언덕]",114,2025-07-20 13:13:09
,시,운율 맞추기,"첫 줄은 5글자, 둘째 줄은 7글자, 셋째 줄은 5글자로 하이쿠 형식 시를 작성하세요.",쉬움,"[조용한 계곡, 은빛 별빛, 빛바랜 달]",84,2025-07-20 13:12:09
,시,운율 맞추기,"장단이 교차되는 2행 시를 작성하세요. 첫 행은 6글자, 둘째 행은 4글자로 구성하세요.",쉬움,"[하얀 파편, 희미한 별, 황금빛 나뭇잎]",120,2025-07-20 13:11:09
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",쉬움,"[바람 부는 언덕, 붉은 노을빛, 고요한 들판]",64,2025-07-20 13:10:09
,시,운율 맞추기,"제시된 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",쉬움,"[바람 부는 바다, 회색 하늘빛, 흐린 노을]",72,2025-07-20 13:09:09
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",어려움,"[안개 드리운 산, 은빛 갈대, 흐린 노을]",83,2025-07-20 13:08:09
,시,운율 맞추기,모든 단어가 'ㄱ'으로 시작하는 5단어 문장을 작성하세요. 자연과 계절을 주제로 하세요.,쉬움,"[조용한 계곡, 고요한 들판, 바람 부는 바다]",110,2025-07-20 13:07:09
,시,운율 맞추기,모든 단어가 'ㄱ'으로 시작하는 5단어 문장을 작성하세요. 자연과 계절을 주제로 하세요.,쉬움,"[흐린 노을, 은빛 갈대, 붉은 해안선]",116,2025-07-20 13:06:09
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",어려움,"[밤의 호수, 푸른 강물, 하얀 파편]",64,2025-07-20 13:05:09
,시,운율 맞추기,"4음보 리듬으로 3행 시를 작성하세요. 각 음보는 4글자, 감정의 변화를 표현하세요.",중간,"[반짝이는 모래, 바람 부는 바다, 밤의 호수]",122,2025-07-20 13:04:09
,시,운율 맞추기,끝소리를 '-다'로 맞추는 3행 시를 작성하세요. 각 줄은 6~9글자로 구성하세요.,쉬움,"[청록빛, 붉은 해안선, 초승달빛]",97,2025-07-20 13:03:09
,시,운율 맞추기,"리듬이 일정하다가 마지막 행에서 끊기는 4행 시를 작성하세요. 각 줄은 5,5,5,3글자로 구성하세요.",쉬움,"[밤의 호수, 조용한 계곡, 은빛 초원]",100,2025-07-20 13:02:09
,시,운율 맞추기,"4음보 리듬으로 3행 시를 작성하세요. 각 음보는 4글자, 감정의 변화를 표현하세요.",어려움,"[서리 낀 창, 푸른 산맥, 희미한 별]",68,2025-07-20 13:01:09
,시,운율 맞추기,"제시된 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",쉬움,"[별빛 안개, 비 오는 숲, 푸른 바다결]",87,2025-07-20 13:00:09
,시,운율 맞추기,끝소리를 '-다'로 맞추는 3행 시를 작성하세요. 각 줄은 6~9글자로 구성하세요.,중간,"[적막한 새벽, 회색 초원, 비 오는 숲]",89,2025-07-20 12:59:09
,시,운율 맞추기,"리듬이 일정하다가 마지막 행에서 끊기는 4행 시를 작성하세요. 각 줄은 5,5,5,3글자로 구성하세요.",쉬움,"[청록빛, 하얀 파편, 흐린 노을]",111,2025-07-20 12:58:09
,시,운율 맞추기,"3음보로 2행 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 상징적 이미지를 사용하세요.",중간,"[어두운 골짜기, 은빛 초원, 붉은 해안선]",76,2025-07-20 12:57:09
,시,운율 맞추기,모든 단어가 'ㄱ'으로 시작하는 5단어 문장을 작성하세요. 자연과 계절을 주제로 하세요.,어려움,"[구름 낀 달, 푸른 강물, 황금빛 나뭇잎]",68,2025-07-20 12:56:09
,시,운율 맞추기,"장단이 교차되는 2행 시를 작성하세요. 첫 행은 6글자, 둘째 행은 4글자로 구성하세요.",쉬움,"[새벽의 바람, 작은 섬, 푸른 강물]",81,2025-07-20 12:55:09
,시,운율 맞추기,"4음보 리듬으로 3행 시를 작성하세요. 각 음보는 4글자, 감정의 변화를 표현하세요.",중간,"[청록빛, 푸른 강물, 회색 하늘빛]",73,2025-07-20 12:54:09
,시,운율 맞추기,"첫 줄은 5글자, 둘째 줄은 7글자, 셋째 줄은 5글자로 하이쿠 형식 시를 작성하세요.",쉬움,"[회색 초원, 흰 빛살, 어두운 골짜기]",91,2025-07-20 12:53:09
,시,운율 맞추기,"제시된 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",어려움,"[새벽의 바람, 비 오는 숲, 은빛 초원]",124,2025-07-20 12:52:09
,시,운율 맞추기,"리듬이 일정하다가 마지막 행에서 끊기는 4행 시를 작성하세요. 각 줄은 5,5,5,3글자로 구성하세요.",쉬움,"[흐린 노을, 황혼의 들길, 붉은 노을빛]",75,2025-07-20 12:51:09
,시,운율 맞추기,"제시된 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",어려움,"[흰 빛살, 은빛 별빛, 바람 부는 언덕]",92,2025-07-20 12:50:09
,시,운율 맞추기,"제시된 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",쉬움,"[빛바랜 달, 적막한 새벽, 반짝이는 모래]",67,2025-07-20 12:49:09
,시,운율 맞추기,"리듬이 일정하다가 마지막 행에서 끊기는 4행 시를 작성하세요. 각 줄은 5,5,5,3글자로 구성하세요.",어려움,"[은빛 초원, 흰 빛살, 적막한 새벽]",70,2025-07-20 12:48:09
,시,운율 맞추기,모든 단어가 'ㄱ'으로 시작하는 5단어 문장을 작성하세요. 자연과 계절을 주제로 하세요.,쉬움,"[초승달빛, 서리 낀 창, 바람 부는 바다]",86,2025-07-20 12:47:09
