id,category,type,prompt,difficulty,keywords,length,created_at
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",쉬움,"[서리꽃, 흔적, 빛무리]",78,2025-07-21 09:37:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",어려움,"[흐린 별, 달그림자, 구름결]",87,2025-07-21 09:36:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",쉬움,"[파란 새벽, 별바람, 조개껍질]",51,2025-07-21 09:35:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",어려움,"[깊은 밤, 폭우, 은빛 하늘]",100,2025-07-21 09:34:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",쉬움,"[들판바람, 흰 새벽, 별무리]",74,2025-07-21 09:33:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",어려움,"[회색 안개, 은하수, 가랑비]",58,2025-07-21 09:32:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",어려움,"[푸른 강, 바다안개, 잔디밭]",81,2025-07-21 09:31:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",쉬움,"[소나무 숲, 파초, 하얀 구름]",102,2025-07-21 09:30:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",중간,"[밤안개, 붉은 달, 서늘한 숲]",64,2025-07-21 09:29:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",중간,"[바람꽃, 바람결, 황금빛]",54,2025-07-21 09:28:09
,시,운율 맞추기,"4음보 또는 3음보 리듬으로 두 줄 시를 작성하세요. 각 음보는 3~5글자로 구성하고, 끝소리를 '요'로 맞추세요.",쉬움,"[안개비, 은빛 강, 파란 잎]",110,2025-07-21 09:27:09
