id,category,type,prompt,difficulty,keywords,length,created_at
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",중간,"[푸른조개, 밤안개, 하늘별]",63,2025-07-20 20:17:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",쉬움,"[가을달, 잔잔한 파도, 빛나는 달]",72,2025-07-20 20:16:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",쉬움,"[푸른빛, 은하빛, 초여름별]",98,2025-07-20 20:15:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",어려움,"[흰조약돌, 황혼별, 밤하늘빛]",88,2025-07-20 20:14:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",중간,"[하얀숲, 흰노을, 바위조개]",94,2025-07-20 20:13:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",중간,"[은빛연못, 황혼하늘, 바다빛]",104,2025-07-20 20:12:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4~5글자, 잔잔한 분위기를 표현하세요.",중간,"[흐린 숲, 노을바람, 바람결빛]",106,2025-07-20 20:11:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",중간,"[별빛숲, 산바람, 푸른모래]",63,2025-07-20 20:10:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",어려움,"[은빛구름, 별빛파편, 하얀돌]",77,2025-07-20 20:09:09
,시,운율 맞추기,"아래 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",어려움,"[노을빛강, 흰서리, 차가운 숲]",56,2025-07-20 20:08:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",어려움,"[은빛바람, 밤바다, 구름바다]",72,2025-07-20 20:07:09
,시,운율 맞추기,"아래 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",쉬움,"[서리빛, 회색조개, 회색하늘]",105,2025-07-20 20:06:09
,시,운율 맞추기,"3음보로 3행 시를 작성하세요. 각 음보는 3~4글자, 끝소리를 '요'로 맞추세요.",어려움,"[흰꽃잎, 별빛잔해, 푸른하늘]",84,2025-07-20 20:05:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4~5글자, 잔잔한 분위기를 표현하세요.",쉬움,"[별무늬, 하얀안개, 밤바람]",85,2025-07-20 20:04:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4~5글자, 잔잔한 분위기를 표현하세요.",중간,"[은빛 새벽, 별빛강, 고요한 노을]",116,2025-07-20 20:03:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4~5글자, 잔잔한 분위기를 표현하세요.",어려움,"[은빛밤, 차가운 노을, 별빛바다]",60,2025-07-20 20:02:09
,시,운율 맞추기,"아래 시의 3음보 구조를 분석하고, 같은 리듬으로 다른 주제의 3행 시를 작성하세요. (원문 없음)",쉬움,"[노을바람, 별무늬, 별빛잔해]",58,2025-07-20 20:01:09
