id,category,type,prompt,difficulty,keywords,length,created_at
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",쉬움,"[초록 숲, 푸른 돌, 고요한 호수]",72,2025-07-21 02:57:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[흰 노을, 밤의 숲, 붉은 숲]",63,2025-07-21 02:56:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[바람길, 흐린 달, 흰 안개]",64,2025-07-21 02:55:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",쉬움,"[회색 하늘, 파란 불빛, 부드러운 파도]",65,2025-07-21 02:54:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,어려움,"[고운 모래, 별빛 물결, 파랑새]",87,2025-07-21 02:53:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,어려움,"[서늘한 밤, 조용한 밤, 흰 잔디]",52,2025-07-21 02:52:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",쉬움,"[연둣빛 잎, 은빛 산, 솔바람]",93,2025-07-21 02:51:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[보랏빛 하늘, 바위섬, 푸른 조약돌]",79,2025-07-21 02:50:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",중간,"[달무리, 은빛 파편, 황금 달빛]",108,2025-07-21 02:49:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,어려움,"[진달래, 파란 종, 잔잔한 물]",118,2025-07-21 02:48:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",쉬움,"[하얀 별, 차가운 바다, 푸른별]",62,2025-07-21 02:47:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",어려움,"[파란 안개, 흰구름, 별가루]",81,2025-07-21 02:46:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",중간,"[파란 빛살, 푸른 들판, 붉은 노을]",101,2025-07-21 02:45:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[별빛 강, 흐린 새벽, 빛나는 조개]",92,2025-07-21 02:44:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[바람소리, 은빛새벽, 초여름 바람]",105,2025-07-21 02:43:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[깊은 계곡, 가을빛, 노란 잎]",84,2025-07-21 02:42:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[흰구름, 붉은 노을, 부드러운 파도]",54,2025-07-21 02:41:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",중간,"[흐린 새벽, 하얀 별, 푸른별]",114,2025-07-21 02:40:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[파란 안개, 잔잔한 물, 하얀 별]",53,2025-07-21 02:39:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[푸른별, 깊은 계곡, 은빛 산]",98,2025-07-21 02:38:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[부드러운 파도, 흰 안개, 초여름 바람]",92,2025-07-21 02:37:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[푸른별, 파란 종, 흰 노을]",97,2025-07-21 02:36:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[가을빛, 푸른 들판, 보랏빛 하늘]",78,2025-07-21 02:35:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[별빛 강, 파란 불빛, 은빛 파편]",89,2025-07-21 02:34:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[푸른 들판, 연둣빛 잎, 파랑새]",52,2025-07-21 02:33:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,어려움,"[잔잔한 물, 바람소리, 하얀 달]",56,2025-07-21 02:32:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[차가운 바다, 흰구름, 푸른 돌]",109,2025-07-21 02:31:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[서늘한 밤, 푸른 조약돌, 파란 빛살]",76,2025-07-21 02:30:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[푸른 들판, 파랑새, 하얀 달]",76,2025-07-21 02:29:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",쉬움,"[노란 잎, 연둣빛 잎, 푸른 돌]",94,2025-07-21 02:28:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[차가운 바다, 하얀 별, 서늘한 밤]",52,2025-07-21 02:27:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",중간,"[파란 빛살, 빛나는 조개, 푸른 들판]",110,2025-07-21 02:26:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,어려움,"[가을빛, 회색 하늘, 진달래]",62,2025-07-21 02:25:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,어려움,"[흰 잔디, 달무리, 별가루]",107,2025-07-21 02:24:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[은빛 산, 별빛 강, 가을빛]",52,2025-07-21 02:23:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",중간,"[흐린 새벽, 연둣빛 잎, 파란 종]",116,2025-07-21 02:22:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[별가루, 붉은 숲, 바람길]",61,2025-07-21 02:21:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[초여름 바람, 은빛 산, 푸른 돌]",110,2025-07-21 02:20:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[흰 안개, 푸른 들판, 은빛 파편]",70,2025-07-21 02:19:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[황금 달빛, 조용한 밤, 고요한 호수]",94,2025-07-21 02:18:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[빛나는 조개, 바람길, 푸른 조약돌]",83,2025-07-21 02:17:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",중간,"[파란 종, 초록 숲, 조용한 밤]",118,2025-07-21 02:16:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",중간,"[서늘한 밤, 연둣빛 잎, 흰 안개]",119,2025-07-21 02:15:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",중간,"[조용한 밤, 하얀 별, 별빛 물결]",91,2025-07-21 02:14:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",어려움,"[파란 불빛, 바람소리, 파란 종]",115,2025-07-21 02:13:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",중간,"[붉은 숲, 깊은 계곡, 연둣빛 잎]",93,2025-07-21 02:12:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",중간,"[진달래, 파란 종, 보랏빛 하늘]",102,2025-07-21 02:11:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[밤의 숲, 부드러운 파도, 푸른 돌]",89,2025-07-21 02:10:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",어려움,"[바람길, 파란 불빛, 별빛 강]",68,2025-07-21 02:09:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[파란 불빛, 은빛새벽, 달무리]",58,2025-07-21 02:08:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",어려움,"[진달래, 흰 노을, 흰구름]",101,2025-07-21 02:07:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",쉬움,"[연둣빛 잎, 바위섬, 초록 숲]",115,2025-07-21 02:06:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,중간,"[달무리, 파란 종, 흐린 달]",55,2025-07-21 02:05:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",어려움,"[고운 모래, 빛나는 조개, 고요한 호수]",112,2025-07-21 02:04:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",쉬움,"[별빛 물결, 가을빛, 초록 숲]",93,2025-07-21 02:03:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",쉬움,"[흰구름, 별가루, 흰 안개]",110,2025-07-21 02:02:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[파란 안개, 진달래, 파랑새]",71,2025-07-21 02:01:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",중간,"[푸른별, 푸른 돌, 파란 안개]",51,2025-07-21 02:00:09
,시,운율 맞추기,"아래 제시된 시의 4음보 리듬 구조를 분석하고, 같은 구조로 다른 주제의 2행 시를 작성하세요. (원문 없음)",중간,"[푸른 들판, 하얀 달, 차가운 바다]",76,2025-07-21 01:59:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",어려움,"[노란 잎, 연둣빛 잎, 바위섬]",55,2025-07-21 01:58:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,어려움,"[은빛 파편, 별빛 강, 연둣빛 잎]",89,2025-07-21 01:57:09
,시,운율 맞추기,3음보 리듬으로 2행 시를 작성하세요. 각 음보는 3~5글자이며 끝소리를 '다'로 맞추세요.,쉬움,"[고운 모래, 푸른별, 잔잔한 물]",67,2025-07-21 01:56:09
,시,운율 맞추기,"4음보 리듬으로 한 줄 시를 작성하세요. 각 음보는 4글자씩 구성하고, 밝은 분위기를 표현하세요.",어려움,"[붉은 노을, 연둣빛 잎, 초여름 바람]",109,2025-07-21 01:55:09
