id,category,type,prompt,difficulty,keywords,length,created_at
,시,감각 분리 시 (입시),감각 분리 시 연습: 황혼빛 사막. 고전적 운율로 미각 묘사만으로 3행 시를 완성하세요.,어려움,"[서리 내린 공기, 차가운 불꽃, 고요한 불씨]",114,2025-07-17 21:20:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 무너진 성벽. 문학적 감각으로 시각만 활용해 4행 시를 작성하세요.,어려움,"[황금빛 바다, 붉은 잎새, 빛 없는 별자리]",87,2025-07-17 21:19:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 별빛 내린 산책로. 시각 외 감각 없이 한 줄 시를 작성하세요 (문학적).,어려움,"[빛 없는 계곡, 빛바랜 연기, 푸른 파편]",126,2025-07-17 21:18:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 조용한 파도. 촉각적 디테일만으로 상징적 풍경을 4행 시로 표현하세요.,어려움,"[빛 없는 하늘, 포근한 풀내음, 빛바랜 파도]",128,2025-07-17 21:17:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 황혼빛 사막. 미각 외 감각 없이 한 줄 시를 작성하세요 (문학적).,어려움,"[희미한 달빛, 은빛 별가루, 푸른 초원]",146,2025-07-17 21:16:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 달빛으로 물든 계곡. 입시 대비용으로 촉각 묘사만으로 완성도 높은 4행 시를 작성하세요.,어려움,"[황혼의 노을, 붉은 물결, 은빛 달]",112,2025-07-17 21:15:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 희미한 별무리. 고전적 운율로 시각 묘사만으로 3행 시를 완성하세요.,어려움,"[빛 없는 바다, 서리 낀 가지, 황혼빛 모래]",142,2025-07-17 21:14:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 안개 속의 등대. 문학적 감각으로 시각만 활용해 4행 시를 작성하세요.,어려움,"[고요한 호수, 푸른 이슬, 포근한 공기]",128,2025-07-17 21:13:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 별이 잠든 호수. 상징적 이미지로 촉각만을 사용해 3행 시를 만드세요.,어려움,"[황금빛 이슬, 붉은 별빛, 희미한 새벽]",92,2025-07-17 21:12:00
,시,감각 분리 시 (입시),감각 분리 시 연습: 비 내리는 다리. 청각 외 감각 없이 한 줄 시를 작성하세요 (문학적).,어려움,"[서리 내린 초원, 서리 낀 숲, 푸른 물결]",106,2025-07-17 21:11:00
