id,category,type,prompt,difficulty,keywords,length,created_at
,시,감각 분리 시,감각 분리 시 연습: 빛 없는 골목. 후각 외의 감각을 사용하지 않고 한 줄 시를 작성하세요.,중간,"[유리창, 향기, 한기]",63,2025-07-18 17:20:00
,시,감각 분리 시,감각 분리 시 연습: 노을 진 강변. 주어진 주제를 미각적 디테일만으로 4행 시로 완성하세요.,쉬움,"[눈송이, 빛, 철길]",52,2025-07-18 17:19:00
,시,감각 분리 시,감각 분리 시 연습: 비 내리는 정원. 주어진 상황을 시각적 인상만으로 3행 시로 작성하세요.,쉬움,"[가벼움, 창호지, 종소리]",67,2025-07-18 17:18:00
,시,감각 분리 시,감각 분리 시 연습: 잠든 마을. 미각만으로 풍경을 2~3행 시로 묘사하세요.,쉬움,"[쓸쓸함, 바다안개, 차가운 돌]",106,2025-07-18 17:17:00
,시,감각 분리 시,감각 분리 시 연습: 고요한 호수. 아래 사물이나 상황을 시각만으로 묘사하는 2행 시를 작성하세요.,어려움,"[불빛, 바람, 나무]",68,2025-07-18 17:16:00
,시,감각 분리 시,감각 분리 시 연습: 바람이 멈춘 들판. 주어진 주제를 청각적 디테일만으로 4행 시로 완성하세요.,쉬움,"[바람소리, 검은 하늘, 소리]",59,2025-07-18 17:15:00
,시,감각 분리 시,감각 분리 시 연습: 버려진 공장. 시각만을 사용하여 주어진 상황을 3행 시로 표현하세요.,중간,"[촉감, 불길, 고드름]",96,2025-07-18 17:14:00
,시,감각 분리 시,감각 분리 시 연습: 비 내리는 정원. 다른 감각 없이 청각적 표현만으로 3행 시를 만드세요.,중간,"[우울함, 황금빛, 서리 내린 길]",70,2025-07-18 17:13:00
,시,감각 분리 시,감각 분리 시 연습: 고요한 숲속. 주어진 상황을 시각적 인상만으로 3행 시로 작성하세요.,어려움,"[공허함, 습기, 비]",69,2025-07-18 17:12:00
,시,감각 분리 시,감각 분리 시 연습: 바람 부는 산길. 주어진 대상의 미각적 이미지로만 2~4행 시를 작성하세요.,쉬움,"[달그림자, 소나무, 열기]",53,2025-07-18 17:11:00
,시,감각 분리 시,감각 분리 시 연습: 불 꺼진 교실. 청각만을 사용하여 주어진 상황을 3행 시로 표현하세요.,어려움,"[잿빛, 짠맛, 초승달]",79,2025-07-18 17:10:00
,시,감각 분리 시,감각 분리 시 연습: 소리 없는 폭풍. 주어진 상황을 미각적 인상만으로 3행 시로 작성하세요.,어려움,"[쓸쓸한 공기, 한숨, 서리꽃]",61,2025-07-18 17:09:00
,시,감각 분리 시,감각 분리 시 연습: 낡은 성당. 주어진 사물의 청각 느낌을 3음보 형식으로 2행 시로 표현하세요.,어려움,"[잎새, 풀잎, 하늘]",59,2025-07-18 17:08:00
,시,감각 분리 시,감각 분리 시 연습: 달빛이 비치는 숲. 아래 사물이나 상황을 미각만으로 묘사하는 2행 시를 작성하세요.,쉬움,"[비릿한 향, 황혼빛, 모래알]",54,2025-07-18 17:07:00
,시,감각 분리 시,감각 분리 시 연습: 달빛 호수. 후각만으로 풍경을 2~3행 시로 묘사하세요.,쉬움,"[조약돌, 서걱임, 벽돌]",110,2025-07-18 17:06:00
,시,감각 분리 시,감각 분리 시 연습: 달빛이 비치는 숲. 주어진 대상의 시각적 특징만으로 4행 시를 만드세요.,쉬움,"[하얀 구름, 연못, 빛바랜 공기]",69,2025-07-18 17:05:00
,시,감각 분리 시,감각 분리 시 연습: 낡은 성당. 주어진 주제를 청각적 디테일만으로 4행 시로 완성하세요.,쉬움,"[따스함, 달빛, 구름]",101,2025-07-18 17:04:00
,시,감각 분리 시,감각 분리 시 연습: 낡은 극장. 아래 사물이나 상황을 청각만으로 묘사하는 2행 시를 작성하세요.,쉬움,"[먼지, 파편, 풀내음]",98,2025-07-18 17:03:00
,시,감각 분리 시,감각 분리 시 연습: 깊은 동굴. 주어진 사물의 촉각 느낌을 3음보 형식으로 2행 시로 표현하세요.,어려움,"[끈적임, 침묵, 따뜻함]",70,2025-07-18 17:02:00
,시,감각 분리 시,감각 분리 시 연습: 희미한 별자리. 다른 감각 없이 촉각적 표현만으로 3행 시를 만드세요.,중간,"[은빛 연못, 낙엽, 은하수]",97,2025-07-18 17:01:00
,시,감각 분리 시,감각 분리 시 연습: 안개 낀 들판. 다른 감각 없이 미각적 표현만으로 3행 시를 만드세요.,어려움,"[미풍, 은빛, 바다]",114,2025-07-18 17:00:00
,시,감각 분리 시,감각 분리 시 연습: 낡은 목재 오두막. 청각만으로 풍경을 2~3행 시로 묘사하세요.,중간,"[부드러움, 흙냄새, 밤]",102,2025-07-18 16:59:00
,시,감각 분리 시,감각 분리 시 연습: 안개에 잠긴 바다. 다른 감각 없이 후각적 표현만으로 3행 시를 만드세요.,쉬움,"[모래, 창문, 서리바람]",84,2025-07-18 16:58:00
,시,감각 분리 시,감각 분리 시 연습: 비 오는 골목. 주어진 대상의 시각적 이미지로만 2~4행 시를 작성하세요.,어려움,"[김빠진 공기, 연기, 이슬]",89,2025-07-18 16:57:00
,시,감각 분리 시,감각 분리 시 연습: 잠든 마을. 청각만을 사용하여 주어진 상황을 3행 시로 표현하세요.,쉬움,"[비바람, 별무리, 고요]",83,2025-07-18 16:56:00
,시,감각 분리 시,감각 분리 시 연습: 차가운 강물. 후각 외의 감각을 사용하지 않고 한 줄 시를 작성하세요.,어려움,"[서리, 잔디, 파도]",97,2025-07-18 16:55:00
,시,감각 분리 시,감각 분리 시 연습: 쓰러진 가로등. 주어진 상황을 시각적 인상만으로 3행 시로 작성하세요.,쉬움,"[촉촉함, 꽃잎, 돌]",97,2025-07-18 16:54:00
,시,감각 분리 시,감각 분리 시 연습: 황량한 도로. 주어진 사물의 후각 느낌을 3음보 형식으로 2행 시로 표현하세요.,중간,"[황량함, 서늘함, 눈]",95,2025-07-18 16:53:00
,시,감각 분리 시,감각 분리 시 연습: 붉게 타오르는 벽난로. 주어진 대상의 청각적 이미지로만 2~4행 시를 작성하세요.,어려움,"[희미함, 새벽빛, 석양]",97,2025-07-18 16:52:00
,시,감각 분리 시,감각 분리 시 연습: 잠든 마을. 주어진 대상의 시각적 이미지로만 2~4행 시를 작성하세요.,쉬움,"[불씨, 담배 연기, 포근함]",53,2025-07-18 16:51:00
,시,감각 분리 시,감각 분리 시 연습: 텅 빈 운동장. 미각 외의 감각을 사용하지 않고 한 줄 시를 작성하세요.,쉬움,"[차가움, 얼음 조각, 노을]",95,2025-07-18 16:50:00
,시,감각 분리 시,감각 분리 시 연습: 폭풍 전의 해변. 미각만으로 풍경을 2~3행 시로 묘사하세요.,어려움,"[바람결, 안개꽃, 바위]",72,2025-07-18 16:49:00
,시,감각 분리 시,감각 분리 시 연습: 무너진 다리. 다른 감각 없이 촉각적 표현만으로 3행 시를 만드세요.,어려움,"[빛살, 흐린 불빛, 강물]",59,2025-07-18 16:48:00
,시,감각 분리 시,감각 분리 시 연습: 울창한 소나무 숲. 주어진 사물의 청각 느낌을 3음보 형식으로 2행 시로 표현하세요.,중간,"[별빛, 서늘한 공기, 안개]",99,2025-07-18 16:47:00
,시,감각 분리 시,감각 분리 시 연습: 낡은 목재 오두막. 미각만을 사용하여 주어진 상황을 3행 시로 표현하세요.,쉬움,"[조약돌, 촉감, 은하수]",90,2025-07-18 16:46:00
,시,감각 분리 시,감각 분리 시 연습: 쓰러진 가로등. 주어진 주제를 시각적 디테일만으로 4행 시로 완성하세요.,중간,"[은빛, 촉촉함, 쓸쓸함]",60,2025-07-18 16:45:00
,시,감각 분리 시,감각 분리 시 연습: 불빛 없는 거리. 아래 사물이나 상황을 청각만으로 묘사하는 2행 시를 작성하세요.,중간,"[서리, 황금빛, 희미함]",60,2025-07-18 16:44:00
,시,감각 분리 시,감각 분리 시 연습: 눈 덮인 들판. 촉각만으로 풍경을 2~3행 시로 묘사하세요.,쉬움,"[쓸쓸함, 비, 창호지]",74,2025-07-18 16:43:00
,시,감각 분리 시,감각 분리 시 연습: 얼어붙은 연못. 주어진 대상의 촉각적 특징만으로 4행 시를 만드세요.,중간,"[소나무, 따스함, 황량함]",62,2025-07-18 16:42:00
,시,감각 분리 시,감각 분리 시 연습: 잔해 가득한 공원. 주어진 대상의 시각적 특징만으로 4행 시를 만드세요.,중간,"[포근함, 한숨, 유리창]",61,2025-07-18 16:41:00
,시,감각 분리 시,감각 분리 시 연습: 잠든 마을. 미각만으로 풍경을 2~3행 시로 묘사하세요.,쉬움,"[바다, 바람소리, 따뜻함]",92,2025-07-18 16:40:00
,시,감각 분리 시,감각 분리 시 연습: 달빛이 비치는 숲. 아래 사물이나 상황을 시각만으로 묘사하는 2행 시를 작성하세요.,어려움,"[빛살, 서리 내린 길, 바다]",103,2025-07-18 16:39:00
,시,감각 분리 시,감각 분리 시 연습: 황혼의 도시. 주어진 대상의 시각적 특징만으로 4행 시를 만드세요.,중간,"[황혼빛, 은하수, 눈]",91,2025-07-18 16:38:00
