id,category,type,prompt,difficulty,keywords,length,created_at
,시,감각 분리 시,감각 분리 시 연습: 사람 없는 횡단보도. 하나의 사물을 시각적 특징으로만 묘사하는 2행 시를 작성하세요.,중간,"[새벽 공기, 종이 냄새, 먼지 냄새]",109,2025-07-18 04:00:00
,시,감각 분리 시,감각 분리 시 연습: 구름 낀 저녁 하늘. 다른 감각 없이 시각 느낌으로 3음보 한 줄 시를 작성하세요.,쉬움,"[한숨, 향초 향기, 고요한 숨결]",81,2025-07-18 03:59:00
,시,감각 분리 시,감각 분리 시 연습: 소리 없는 영화관. 청각 표현으로만 한 줄 시를 완성하세요.,어려움,"[서랍 소리, 깜박이는 불빛, 포장지 소리]",53,2025-07-18 03:58:00
,시,감각 분리 시,감각 분리 시 연습: 사람 없는 횡단보도. 미각 표현으로만 한 줄 시를 완성하세요.,쉬움,"[도서관 책장, 달콤한 향, 전화벨 소리]",60,2025-07-18 03:57:00
,시,감각 분리 시,감각 분리 시 연습: 비 내린 버스 창문. 주제를 촉각적 묘사만으로 4행 시로 완성하세요.,어려움,"[과자 부서짐, 빈 캔 소리, 차가운 바람결]",62,2025-07-18 03:56:00
,시,감각 분리 시,감각 분리 시 연습: 계단 아래 어둠. 후각 표현으로만 한 줄 시를 완성하세요.,어려움,"[노란 가로등, 책 냄새, 빛바랜 간판]",67,2025-07-18 03:55:00
,시,감각 분리 시,감각 분리 시 연습: 편의점 앞 거리. 주어진 사물의 시각 느낌을 반복적으로 살린 2행 시를 작성하세요.,어려움,"[매운 냄새, 젖은 우산, 곰팡이 냄새]",101,2025-07-18 03:54:00
,시,감각 분리 시,감각 분리 시 연습: 비 내린 버스 창문. 후각만으로 주제를 표현한 4행 시를 만드세요.,중간,"[시계 초침, 딱딱한 의자, 스피커 노이즈]",83,2025-07-18 03:53:00
,시,감각 분리 시,감각 분리 시 연습: 골목길 카페. 다른 감각 없이 촉각 느낌으로 3음보 한 줄 시를 작성하세요.,쉬움,"[책상 스크래치, 식은 피자, 뜨거운 김]",59,2025-07-18 03:52:00
,시,감각 분리 시,감각 분리 시 연습: 동네 서점. 시각만으로 주제를 표현한 4행 시를 만드세요.,중간,"[나뭇잎 부딪힘, 카페 향, 새벽 냄새]",65,2025-07-18 03:51:00
,시,감각 분리 시,감각 분리 시 연습: 푸른 불빛 네온사인. 청각만으로 주제를 표현한 4행 시를 만드세요.,중간,"[연필 소리, 낡은 의자, 기침 소리]",55,2025-07-18 03:50:00
,시,감각 분리 시,감각 분리 시 연습: 계단 아래 어둠. 후각만 활용해 일상적인 풍경을 3행 시로 표현하세요.,중간,"[노트북 불빛, 습한 바닥, 소금맛]",82,2025-07-18 03:49:00
,시,감각 분리 시,감각 분리 시 연습: 동전 가득한 분수대. 후각만 활용해 일상적인 풍경을 3행 시로 표현하세요.,중간,"[네온 불빛, 차가운 금속, 서걱이는 비닐]",100,2025-07-18 03:48:00
,시,감각 분리 시,감각 분리 시 연습: 빨래 널린 옥상. 미각 표현으로만 한 줄 시를 완성하세요.,중간,"[푸른 조명, 뜨거운 국물, 창문빛]",92,2025-07-18 03:47:00
,시,감각 분리 시,감각 분리 시 연습: 흐린 하늘 아래 강변. 하나의 사물을 미각적 특징으로만 묘사하는 2행 시를 작성하세요.,어려움,"[푸른 불빛, 공기청정기 소리, 부드러운 바람]",89,2025-07-18 03:46:00
