id,category,type,prompt,difficulty,keywords,length,created_at
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 고요한 강가, 은하수 흐름을 담은 시: 주제 '고요한 강가'를 몽환적 상징으로 4행 시로 표현하세요. (단어: 은빛 하늘빛, 붉은 불씨, 서리 낀 초승)",어려움,"[은빛 하늘빛, 붉은 불씨, 서리 낀 초승]",92,2025-07-15 16:00:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 고요한 강가, 은유와 반복 중심 시: 주제 '고요한 강가'를 대구와 은유를 결합해 3행 시로 표현하세요. (단어: 차갑게 언 하늘, 서리 낀 안개, 흐린 불씨)",어려움,"[차갑게 언 하늘, 서리 낀 안개, 흐린 불씨]",129,2025-07-15 15:59:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 은하수 가득한 밤, 긴장감과 고요를 교차하는 시: 주제 '은하수 가득한 밤'를 은유와 반복으로 4행 시를 작성하세요. (단어: 흐린 계곡, 은빛 노을, 서리 낀 별자리)",어려움,"[흐린 계곡, 은빛 노을, 서리 낀 별자리]",146,2025-07-15 15:58:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 빛 없는 하늘, 리듬감 있는 고전풍 시: 주제 '빛 없는 하늘'를 은하수 흐름처럼 4행 시로 작성하세요. (단어: 푸른 유성, 고요한 물결, 흐린 새벽빛)",어려움,"[푸른 유성, 고요한 물결, 흐린 새벽빛]",145,2025-07-15 15:57:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 서리 낀 언덕, 긴장감과 고요를 교차하는 시: 주제 '서리 낀 언덕'를 몽환적 상징으로 4행 시로 표현하세요. (단어: 흐린 하늘, 붉은 파편, 황금빛 물결)",어려움,"[흐린 하늘, 붉은 파편, 황금빛 물결]",137,2025-07-15 15:56:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 붉은 노을빛 바다, 상징적 대비가 강한 시: 주제 '붉은 노을빛 바다'를 심연을 묘사하는 서사로 4행 시를 작성하세요. (단어: 서늘한 공기, 별빛 초원, 황혼빛 강물)",어려움,"[서늘한 공기, 별빛 초원, 황혼빛 강물]",139,2025-07-15 15:55:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 붉은 노을빛 바다, 대구와 은유를 결합한 시: 주제 '붉은 노을빛 바다'를 몽환적 상징으로 4행 시로 표현하세요. (단어: 황혼빛 모래, 별빛 유리, 은빛 불빛)",어려움,"[황혼빛 모래, 별빛 유리, 은빛 불빛]",142,2025-07-15 15:54:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 빛 없는 하늘, 심연을 묘사한 서사적 시: 주제 '빛 없는 하늘'를 리듬감 있는 고전풍으로 3행 시로 만드세요. (단어: 빛 없는 길, 은빛 초승, 붉은 별빛)",어려움,"[빛 없는 길, 은빛 초승, 붉은 별빛]",123,2025-07-15 15:53:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 안개 덮인 계곡, 몽환적 상징이 가득한 시: 주제 '안개 덮인 계곡'를 파편적 이미지로 3~5행 시로 작성하세요. (단어: 푸른 불빛, 붉은 하늘, 은빛 불꽃)",어려움,"[푸른 불빛, 붉은 하늘, 은빛 불꽃]",108,2025-07-15 15:52:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 고요한 강가, 몽환적 상징이 가득한 시: 주제 '고요한 강가'를 파편적 이미지로 3~5행 시로 작성하세요. (단어: 은빛 노을빛, 차가운 불씨, 붉은 물결)",어려움,"[은빛 노을빛, 차가운 불씨, 붉은 물결]",131,2025-07-15 15:51:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 황혼의 초원, 단조로우면서도 서정적인 시: 주제 '황혼의 초원'를 긴장감과 고요가 교차하도록 3행 시로 만드세요. (단어: 별빛 바다, 별빛 노을, 푸른 연못)",어려움,"[별빛 바다, 별빛 노을, 푸른 연못]",118,2025-07-15 15:50:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 고요한 강가, 긴장감과 고요를 교차하는 시: 주제 '고요한 강가'를 긴장감과 고요가 교차하도록 3행 시로 만드세요. (단어: 붉은 연기, 붉은 안개, 흐린 안개)",어려움,"[붉은 연기, 붉은 안개, 흐린 안개]",94,2025-07-15 15:49:00
,시,주제 변주 (입시),"주제 변주 시 연습 (입시 대비) - 황혼의 초원, 심연을 묘사한 서사적 시: 주제 '황혼의 초원'를 대구와 은유를 결합해 3행 시로 표현하세요. (단어: 푸른 잎새, 붉은 구름, 별빛 안개)",어려움,"[푸른 잎새, 붉은 구름, 별빛 안개]",98,2025-07-15 15:48:00
