id,category,type,prompt,difficulty,keywords,length,created_at
,시,주제 변주,"주제 변주 시 연습 (자연, 격정적인 어조): 주제 '자연'를 반복적인 구절로 2~3행 시를 작성하세요. (단어: 차갑게 언 돌, 별빛 조각, 불타는 하늘)",어려움,"[차갑게 언 돌, 별빛 조각, 불타는 하늘]",82,2025-07-16 12:00:00
,시,주제 변주,"주제 변주 시 연습 (계절, 속삭이는 어조): 주제 '계절'를 고전적 운율로 2행 시로 표현하세요. (단어: 푸른 불꽃, 고요, 빗소리)",중간,"[푸른 불꽃, 고요, 빗소리]",75,2025-07-16 11:59:00
,시,주제 변주,"주제 변주 시 연습 (변화, 대조적 이미지): 주제 '변화'를 반복적인 구절로 2~3행 시를 작성하세요. (단어: 붉은 안개, 눈부신 별빛, 소리)",쉬움,"[붉은 안개, 눈부신 별빛, 소리]",104,2025-07-16 11:58:00
,시,주제 변주,"주제 변주 시 연습 (변화, 반복적 구절): 주제 '변화'를 단편적 서사 형태로 3행 시로 표현하세요. (단어: 모닥불, 고요한 바람결, 서리 내린 초원)",중간,"[모닥불, 고요한 바람결, 서리 내린 초원]",52,2025-07-16 11:57:00
,시,주제 변주,"주제 변주 시 연습 (희망, 반복적 구절): 주제 '희망'를 고전적 운율로 2행 시로 표현하세요. (단어: 은빛 이슬, 파도, 달빛)",중간,"[은빛 이슬, 파도, 달빛]",96,2025-07-16 11:56:00
,시,주제 변주,"주제 변주 시 연습 (꿈, 리듬감 있는 운율): 주제 '꿈'를 짧고 강렬한 한 줄 시로 표현하세요. (단어: 푸른 유성, 바람소리, 하늘)",쉬움,"[푸른 유성, 바람소리, 하늘]",67,2025-07-16 11:55:00
,시,주제 변주,"주제 변주 시 연습 (자연, 반복적 구절): 주제 '자연'를 속삭이는 어조로 3행 시 구절을 작성하세요. (단어: 노랫소리, 서늘함, 안개)",쉬움,"[노랫소리, 서늘함, 안개]",61,2025-07-16 11:54:00
,시,주제 변주,"주제 변주 시 연습 (계절, 현대적 산문시 느낌): 주제 '계절'를 반복적인 구절로 2~3행 시를 작성하세요. (단어: 강물, 은빛 강, 모래)",어려움,"[강물, 은빛 강, 모래]",92,2025-07-16 11:53:00
,시,주제 변주,"주제 변주 시 연습 (사랑, 현대적 산문시 느낌): 주제 '사랑'를 격정적인 어조로 4행 시를 만드세요. (단어: 고요한 공기, 황혼의 바다, 포근함)",어려움,"[고요한 공기, 황혼의 바다, 포근함]",94,2025-07-16 11:52:00
,시,주제 변주,"주제 변주 시 연습 (상실, 격정적인 어조): 주제 '상실'를 짧고 강렬한 한 줄 시로 표현하세요. (단어: 바람결, 푸른 하늘빛, 숲)",중간,"[바람결, 푸른 하늘빛, 숲]",57,2025-07-16 11:51:00
