id,category,type,prompt,difficulty,keywords,length,created_at
,시,주제 변주,"주제 변주 시 연습 (골목의 불빛, 조용한 리듬 시): 주제 '골목의 불빛'를 현대적 산문시 느낌으로 4행 시를 작성하세요. (단어: 빗물 냄새, 플라스틱 소리, 휴지통)",쉬움,"[빗물 냄새, 플라스틱 소리, 휴지통]",98,2025-07-15 22:40:00
,시,주제 변주,"주제 변주 시 연습 (지하철의 고요, 도시적 이미지 시): 주제 '지하철의 고요'를 현대적 산문시 느낌으로 4행 시를 작성하세요. (단어: 벽돌길 소리, 차량 경적, 도서관 책 냄새)",쉬움,"[벽돌길 소리, 차량 경적, 도서관 책 냄새]",106,2025-07-15 22:39:00
,시,주제 변주,"주제 변주 시 연습 (일상 속 고독, 도시적 이미지 시): 주제 '일상 속 고독'를 부드러운 묘사로 3행 시로 표현하세요. (단어: 붉은 벽, 빨래 냄새, 푸른 간판)",쉬움,"[붉은 벽, 빨래 냄새, 푸른 간판]",89,2025-07-15 22:38:00
,시,주제 변주,"주제 변주 시 연습 (일상 속 고독, 부드러운 묘사 시): 주제 '일상 속 고독'를 짧지만 강렬한 한 줄 시로 작성하세요. (단어: 길 위의 물웅덩이, 늦은 밤 골목, 차가운 금속)",중간,"[길 위의 물웅덩이, 늦은 밤 골목, 차가운 금속]",118,2025-07-15 22:37:00
,시,주제 변주,"주제 변주 시 연습 (사람 없는 거리, 부드러운 묘사 시): 주제 '사람 없는 거리'를 잔잔한 서정시로 3행 시를 작성하세요. (단어: 노란 종이컵, 골목의 소리, 골목길 가로등)",쉬움,"[노란 종이컵, 골목의 소리, 골목길 가로등]",100,2025-07-15 22:36:00
,시,주제 변주,"주제 변주 시 연습 (지하철의 고요, 부드러운 묘사 시): 주제 '지하철의 고요'를 속삭이듯 이어지는 2행 시로 표현하세요. (단어: 네온 불빛, 빨래 널린 옥상, 푸른 조명)",어려움,"[네온 불빛, 빨래 널린 옥상, 푸른 조명]",93,2025-07-15 22:35:00
,시,주제 변주,"주제 변주 시 연습 (빗소리 속 기억, 단조로운 반복 시): 주제 '빗소리 속 기억'를 느릿하게 흐르는 4행 시로 작성하세요. (단어: 버스 엔진음, 길모퉁이 의자, 휴대폰 불빛)",어려움,"[버스 엔진음, 길모퉁이 의자, 휴대폰 불빛]",119,2025-07-15 22:34:00
,시,주제 변주,"주제 변주 시 연습 (편의점 불빛 아래, 짧지만 강렬한 시): 주제 '편의점 불빛 아래'를 부드러운 묘사로 3행 시로 표현하세요. (단어: 동네 서점, 모래먼지, 주택가의 고요)",쉬움,"[동네 서점, 모래먼지, 주택가의 고요]",84,2025-07-15 22:33:00
,시,주제 변주,"주제 변주 시 연습 (골목의 불빛, 잔잔한 서정시): 주제 '골목의 불빛'를 부드러운 묘사로 3행 시로 표현하세요. (단어: 창문 틈새 바람, 커피 향, 빨간 우체통)",중간,"[창문 틈새 바람, 커피 향, 빨간 우체통]",61,2025-07-15 22:32:00
,시,주제 변주,"주제 변주 시 연습 (사람 없는 거리, 부드러운 묘사 시): 주제 '사람 없는 거리'를 단조로운 반복으로 2~3행 시로 만드세요. (단어: 하얀 구름 조각, 빨래 걸린 옥상, 분식집 향기)",쉬움,"[하얀 구름 조각, 빨래 걸린 옥상, 분식집 향기]",84,2025-07-15 22:31:00
,시,주제 변주,"주제 변주 시 연습 (늦은 밤의 카페, 부드러운 묘사 시): 주제 '늦은 밤의 카페'를 느릿하게 흐르는 4행 시로 작성하세요. (단어: 포장마차 불빛, 지하철 바람, 라디오 음악)",어려움,"[포장마차 불빛, 지하철 바람, 라디오 음악]",86,2025-07-15 22:30:00
,시,주제 변주,"주제 변주 시 연습 (일상 속 고독, 잔잔한 서정시): 주제 '일상 속 고독'를 느릿하게 흐르는 4행 시로 작성하세요. (단어: 빨간 신호등, 네온사인, 푸른 네온)",중간,"[빨간 신호등, 네온사인, 푸른 네온]",66,2025-07-15 22:29:00
,시,주제 변주,"주제 변주 시 연습 (늦은 밤의 카페, 조용한 리듬 시): 주제 '늦은 밤의 카페'를 잔잔한 서정시로 3행 시를 작성하세요. (단어: 빨간 포스터, 빨간 우산, 버려진 신문)",쉬움,"[빨간 포스터, 빨간 우산, 버려진 신문]",63,2025-07-15 22:28:00
,시,주제 변주,"주제 변주 시 연습 (창밖 풍경, 조용한 리듬 시): 주제 '창밖 풍경'를 일상적 비유로 4행 시로 완성하세요. (단어: 편지 봉투 위 먼지, 빨간 간판, 편지지)",중간,"[편지 봉투 위 먼지, 빨간 간판, 편지지]",117,2025-07-15 22:27:00
,시,주제 변주,"주제 변주 시 연습 (창밖 풍경, 짧지만 강렬한 시): 주제 '창밖 풍경'를 일상적 비유로 4행 시로 완성하세요. (단어: 빨래 걸린 베란다, 햇살 드는 창, 버려진 자전거)",쉬움,"[빨래 걸린 베란다, 햇살 드는 창, 버려진 자전거]",90,2025-07-15 22:26:00
,시,주제 변주,"주제 변주 시 연습 (늦은 밤의 카페, 단조로운 반복 시): 주제 '늦은 밤의 카페'를 속삭이듯 이어지는 2행 시로 표현하세요. (단어: 젖은 우산, 에스프레소 향, 버려진 쇼핑카트)",어려움,"[젖은 우산, 에스프레소 향, 버려진 쇼핑카트]",110,2025-07-15 22:25:00
,시,주제 변주,"주제 변주 시 연습 (길모퉁이 풍경, 부드러운 묘사 시): 주제 '길모퉁이 풍경'를 일상적 비유로 4행 시로 완성하세요. (단어: 라면 냄새, 차가운 손잡이, 벽시계 초침)",어려움,"[라면 냄새, 차가운 손잡이, 벽시계 초침]",93,2025-07-15 22:24:00
,시,주제 변주,"주제 변주 시 연습 (편의점 불빛 아래, 조용한 리듬 시): 주제 '편의점 불빛 아래'를 느릿하게 흐르는 4행 시로 작성하세요. (단어: 빨간 불빛, 노란 조명, 동전 소리)",쉬움,"[빨간 불빛, 노란 조명, 동전 소리]",73,2025-07-15 22:23:00
,시,주제 변주,"주제 변주 시 연습 (도시의 새벽, 속삭이듯 이어지는 시): 주제 '도시의 새벽'를 속삭이듯 이어지는 2행 시로 표현하세요. (단어: 거리의 발자국, 거리의 종소리, 시장 소리)",어려움,"[거리의 발자국, 거리의 종소리, 시장 소리]",79,2025-07-15 22:22:00
,시,주제 변주,"주제 변주 시 연습 (창밖 풍경, 도시적 이미지 시): 주제 '창밖 풍경'를 부드러운 묘사로 3행 시로 표현하세요. (단어: 하얀 불빛, 하얀 접시, 도서관의 고요)",쉬움,"[하얀 불빛, 하얀 접시, 도서관의 고요]",105,2025-07-15 22:21:00
,시,주제 변주,"주제 변주 시 연습 (길모퉁이 풍경, 잔잔한 서정시): 주제 '길모퉁이 풍경'를 도시적 이미지로 3행 시로 작성하세요. (단어: 노란 버스, 빨간 조명, 골목길 그림자)",쉬움,"[노란 버스, 빨간 조명, 골목길 그림자]",103,2025-07-15 22:20:00
,시,주제 변주,"주제 변주 시 연습 (빗소리 속 기억, 부드러운 묘사 시): 주제 '빗소리 속 기억'를 현대적 산문시 느낌으로 4행 시를 작성하세요. (단어: 빗방울 흔적, 책 넘기는 소리, 시장 골목)",어려움,"[빗방울 흔적, 책 넘기는 소리, 시장 골목]",101,2025-07-15 22:19:00
