id,category,type,prompt,difficulty,keywords,length,created_at
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 고전풍 압축형으로 표현하세요. 문장: '태양이 가려진다',어려움,"[끊어진 시간, 묵은 세월, 꺼지는 불빛]",134,2025-07-20 04:23:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 고전풍 압축형으로 표현하세요. 문장: '밤이 사라진다',중간,"[사라지는 계절, 조용한 황혼, 희미한 시계]",71,2025-07-20 04:22:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 은유·상징 결합형으로 표현하세요. 문장: '도로가 반짝인다',어려움,"[텅 빈 광장, 고독한 가로등, 회색 지붕]",116,2025-07-20 04:21:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 은유·상징 결합형으로 표현하세요. 문장: '눈보라가 몰아친다',중간,"[회색 하늘빛, 고요한 숲, 흰 눈보라]",117,2025-07-20 04:20:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 반어적 은유형으로 표현하세요. 문장: '태양이 가려진다',중간,"[고요한 순간, 멈춘 흐름, 지워진 기억]",138,2025-07-20 04:19:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 고전풍 압축형으로 표현하세요. 문장: '광고판이 밝아진다',쉬움,"[깜빡이는 불빛, 철문, 황량한 길]",64,2025-07-20 04:18:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 은유·상징 결합형으로 표현하세요. 문장: '나는 울먹인다',쉬움,"[적막, 허망, 사무침]",96,2025-07-20 04:17:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 반어적 은유형으로 표현하세요. 문장: '태풍이 스친다',어려움,"[희미한 별, 부서진 달, 별빛 안개]",75,2025-07-20 04:16:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 은유·상징 결합형으로 표현하세요. 문장: '그는 침묵한다',어려움,"[그림자 춤, 메마름, 울음]",114,2025-07-20 04:15:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 의인화·감각 결합형으로 표현하세요. 문장: '네온이 번쩍인다',어려움,"[어두운 건물, 쓸쓸한 도로, 도시 그림자]",77,2025-07-20 04:14:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 상징적 반복형으로 표현하세요. 문장: '태풍이 스친다',중간,"[어두운 계곡, 차가운 바람결, 쓸쓸한 바다]",88,2025-07-20 04:13:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 은유·상징 결합형으로 표현하세요. 문장: '네온이 번쩍인다',중간,"[어두운 건물, 회색 지붕, 텅 빈 광장]",100,2025-07-20 04:12:00
