id,category,type,prompt,difficulty,keywords,length,created_at
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 반복형으로 표현하세요. 문장: '별빛이 쏟아진다',어려움,"[은빛 구름, 차가운 바람, 황금빛 별]",85,2025-07-20 11:03:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 모순적 결합형으로 표현하세요. 문장: '지붕들이 반짝인다',어려움,"[철길, 환한 가로등, 어두운 골목]",58,2025-07-20 11:02:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 모순적 결합형으로 표현하세요. 문장: '도로가 텅 비었다',어려움,"[창가 불빛, 지하도, 텅 빈 거리]",69,2025-07-20 11:01:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 연상형으로 표현하세요. 문장: '도시가 빛난다',중간,"[광고판, 연기, 회색 도로]",82,2025-07-20 11:00:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 단편적 이미지형으로 표현하세요. 문장: '하늘길이 열렸다',쉬움,"[환한 가로등, 지하도, 광고판]",97,2025-07-20 10:59:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 모순적 결합형으로 표현하세요. 문장: '세월이 멈춘다',어려움,"[밤새움, 과거의 그림자, 어스름]",64,2025-07-20 10:58:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 단편적 이미지형으로 표현하세요. 문장: '가을이 머문다',중간,"[새벽빛, 변화의 숨결, 끝없는 시간]",74,2025-07-20 10:57:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 연상형으로 표현하세요. 문장: '광장이 고요하다',쉬움,"[회색 도로, 환한 가로등, 광고판]",109,2025-07-20 10:56:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 단편적 이미지형으로 표현하세요. 문장: '지붕들이 반짝인다',어려움,"[환한 가로등, 창가 불빛, 연기]",115,2025-07-20 10:55:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 단편적 이미지형으로 표현하세요. 문장: '겨울이 깨어난다',중간,"[시간의 골짜기, 순간의 빛, 저녁놀]",66,2025-07-20 10:54:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 대구형으로 표현하세요. 문장: '해무가 덮친다',어려움,"[은하수, 파란 물결, 푸른 숲]",89,2025-07-20 10:53:00
,시,시어 변형,아래 평범한 문장을 시적 표현으로 변형하세요. 단편적 이미지형으로 표현하세요. 문장: '해무가 덮친다',어려움,"[하얀 파도, 흐린 초원, 붉은 노을]",114,2025-07-20 10:52:00
