id,category,type,prompt,difficulty,keywords,length
1,시나리오,결말 재구성,"주제 '아침 지하철 출근길의 작은 소동'를 낭만적 결말, 코믹 결말, 반전엔딩 결말로 변환해 각 2줄씩 작성하세요.",쉬움,"['낭만적 결말', '코믹 결말', '반전엔딩', '잔잔한']",93
2,시나리오,결말 재구성,"주제 '도시 거리의 갑작스러운 정전'를 낭만적 결말, 따뜻한 결말, 서스펜스 결말으로 각각 2줄씩 결말을 재구성하세요.",쉬움,"['낭만적 결말', '따뜻한 결말', '서스펜스 결말', '로맨틱']",123
3,시나리오,결말 재구성,"주제 '공원 벤치에서 잠든 사람과 마주친 상황'를 해피엔딩, 반전엔딩, 따뜻한 결말 결말로 변환해 각 2줄씩 작성하세요.",어려움,"['해피엔딩', '반전엔딩', '따뜻한 결말', '로맨틱']",153
4,시나리오,결말 재구성,"공원 산책로에서 우연히 강아지를 만진 사람' 장면을 열린 결말, 코믹 결말, 따뜻한 결말 결말로 바꿔 2줄씩 표현하세요.",중간,"['열린 결말', '코믹 결말', '따뜻한 결말', '긴박한']",116
5,시나리오,결말 재구성,"주제 '도시 버스 안에서 이어진 짧은 인연'를 해피엔딩, 열린 결말, 서스펜스 결말으로 각각 2줄씩 결말을 재구성하세요.",쉬움,"['해피엔딩', '열린 결말', '서스펜스 결말', '드라마틱']",120
6,시나리오,결말 재구성,"지하도에서 흘러나온 음악에 발걸음을 멈춘 사람들' 장면을 열린 결말, 비극적 결말, 따뜻한 결말 결말로 바꿔 2줄씩 표현하세요.",어려움,"['열린 결말', '비극적 결말', '따뜻한 결말', '긴박한']",154
7,시나리오,결말 재구성,"주제 '회사 로비에서 우연히 엘리베이터를 함께 탄 상황'를 코믹 결말, 서스펜스 결말, 해피엔딩 결말로 변환해 각 2줄씩 작성하세요.",쉬움,"['코믹 결말', '서스펜스 결말', '해피엔딩', '잔잔한']",104
8,시나리오,결말 재구성,"백화점 에스컬레이터에서 스친 눈빛' 장면을 낭만적 결말, 비극적 결말, 코믹 결말 톤으로 결말만 다르게 2줄씩 작성하세요.",중간,"['낭만적 결말', '비극적 결말', '코믹 결말', '코믹']",97
9,시나리오,결말 재구성,"주제 '도서관 열람실에서 동시에 같은 책을 찾는 순간'를 코믹 결말, 해피엔딩, 따뜻한 결말 결말로 변환해 각 2줄씩 작성하세요.",어려움,"['코믹 결말', '해피엔딩', '따뜻한 결말', '서정적']",151
10,시나리오,결말 재구성,"편의점 앞 테이블에서 새벽을 지새우는 사람들' 장면을 서스펜스 결말, 낭만적 결말, 코믹 결말 톤으로 결말만 다르게 2줄씩 작성하세요.",어려움,"['서스펜스 결말', '낭만적 결말', '코믹 결말', '로맨틱']",143
11,시나리오,결말 재구성,"주제 '지하철 안에서 핸드폰을 빌려주는 순간'를 서스펜스 결말, 따뜻한 결말, 열린 결말으로 각각 2줄씩 결말을 재구성하세요.",어려움,"['서스펜스 결말', '따뜻한 결말', '열린 결말', '로맨틱']",118
12,시나리오,결말 재구성,"주제 '백화점 에스컬레이터에서 스친 눈빛'를 코믹 결말, 반전엔딩, 서스펜스 결말으로 각각 2줄씩 결말을 재구성하세요.",어려움,"['코믹 결말', '반전엔딩', '서스펜스 결말', '쓸쓸한']",148
13,시나리오,결말 재구성,"아침 지하철 출근길의 작은 소동' 상황을 비극적 결말, 반전엔딩, 서스펜스 결말 버전으로 각각 다른 결말을 2줄씩 만드세요.",어려움,"['비극적 결말', '반전엔딩', '서스펜스 결말', '따뜻한']",132
14,시나리오,결말 재구성,"주제 '동네 문구점에서 학창 시절 친구와 재회'를 비극적 결말, 열린 결말, 낭만적 결말 결말로 변환해 각 2줄씩 작성하세요.",어려움,"['비극적 결말', '열린 결말', '낭만적 결말', '쓸쓸한']",147
15,시나리오,결말 재구성,"동네 꽃집에서 같은 꽃을 고르는 순간' 장면을 따뜻한 결말, 서스펜스 결말, 코믹 결말 결말로 바꿔 2줄씩 표현하세요.",쉬움,"['따뜻한 결말', '서스펜스 결말', '코믹 결말', '잔잔한']",91
16,시나리오,결말 재구성,"주제 '지하철 환승역에서 스쳐 지나간 시선'를 코믹 결말, 서스펜스 결말, 반전엔딩으로 각각 2줄씩 결말을 재구성하세요.",어려움,"['코믹 결말', '서스펜스 결말', '반전엔딩', '긴박한']",119
17,시나리오,결말 재구성,"편의점 앞 테이블에서 새벽을 지새우는 사람들' 상황을 따뜻한 결말, 반전엔딩, 비극적 결말 버전으로 각각 다른 결말을 2줄씩 만드세요.",쉬움,"['따뜻한 결말', '반전엔딩', '비극적 결말', '현실적']",131
18,시나리오,결말 재구성,"동네 문구점에서 학창 시절 친구와 재회' 장면을 열린 결말, 코믹 결말, 비극적 결말 결말로 바꿔 2줄씩 표현하세요.",어려움,"['열린 결말', '코믹 결말', '비극적 결말', '현실적']",111
