id,category,type,prompt,difficulty,keywords,length
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 로맨스, 분위기: 잔잔한
장면: 버스 안에서 과거를 회상한다.",어려움,"[버스 안, 로맨스, 과거를 회상한다]",123
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 청춘, 분위기: 감성적인
장면: 지하실에서 과거를 회상한다.",중간,"[과거를 회상한다, 지하실, 감성적인]",100
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 판타지, 분위기: 유쾌한
장면: 버스 안에서 도망치려 한다.",어려움,"[판타지, 버스 안, 도망치려 한다]",162
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 스릴러, 분위기: 감성적인
장면: 고요한 숲에서 누군가를 기다린다.",중간,"[고요한 숲, 감성적인, 스릴러]",151
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 미스터리, 분위기: 현실적인
장면: 버스 안에서 도망치려 한다.",중간,"[도망치려 한다, 현실적인, 버스 안]",228
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 판타지, 분위기: 우울한
장면: 비 오는 거리에서 갑작스러운 소리가 들린다.",중간,"[비 오는 거리, 우울한, 갑작스러운 소리가 들린다]",108
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 미스터리, 분위기: 현실적인
장면: 낡은 아파트에서 누군가를 기다린다.",어려움,"[낡은 아파트, 누군가를 기다린다, 현실적인]",118
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 청춘, 분위기: 긴장감 있는
장면: 낡은 아파트에서 무언가를 숨긴다.",어려움,"[긴장감 있는, 청춘, 낡은 아파트]",202
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 호러, 분위기: 긴장감 있는
장면: 해변가에서 누군가를 기다린다.",중간,"[호러, 해변가, 누군가를 기다린다]",146
,시나리오,장면 묘사,"다음 상황을 시나리오 형식으로 구체적으로 묘사하시오.
장르: 청춘, 분위기: 유쾌한
장면: 지하실에서 누군가를 기다린다.",중간,"[누군가를 기다린다, 유쾌한, 지하실]",212
