id,category,type,prompt,difficulty,keywords,length
1,에세이,인용문/명언 활용,"다음 인용문을 바탕으로 자신의 생각이나 경험을 400자 이상으로 서술하시오: ""시간은 가장 공정한 심판이다.""",중간,"['철학/삶', '인용문', '확장']",800
2,에세이,인용문/명언 활용,"다음 인용문에 대해 찬성 또는 반대 입장을 선택하고 500자 이상으로 논리적으로 글을 작성하시오: ""사랑은 이해에서 시작된다.""",중간,"['철학/삶', '인용문', '논증']",500
3,에세이,인용문/명언 활용,"다음 인용문을 첫 문장 또는 결말로 활용하여 400자 이상으로 글을 작성하시오: ""혁신은 불편함에서 시작된다.""",중간,"['자연/예술/기술', '인용문', '창작']",800
4,에세이,인용문/명언 활용,"다음 인용문을 바탕으로 자신의 생각이나 경험을 400자 이상으로 서술하시오: ""디지털은 편리하지만 고독하다.""",쉬움,"['자연/예술/기술', '인용문', '확장']",700
5,에세이,인용문/명언 활용,"다음 인용문에 대해 찬성 또는 반대 입장을 선택하고 500자 이상으로 논리적으로 글을 작성하시오: ""작은 용기가 큰 변화를 만든다.""",쉬움,"['철학/삶', '인용문', '논증']",600
6,에세이,인용문/명언 활용,"다음 인용문을 첫 문장 또는 결말로 활용하여 400자 이상으로 글을 작성하시오: ""별빛은 인간에게 겸손을 가르친다.""",어려움,"['자연/예술/기술', '인용문', '창작']",800
7,에세이,인용문/명언 활용,"다음 인용문을 바탕으로 자신의 생각이나 경험을 400자 이상으로 서술하시오: ""사랑은 이해에서 시작된다.""",어려움,"['철학/삶', '인용문', '확장']",800
8,에세이,인용문/명언 활용,"다음 인용문에 대해 찬성 또는 반대 입장을 선택하고 500자 이상으로 논리적으로 글을 작성하시오: ""예술은 감정의 언어다.""",쉬움,"['자연/예술/기술', '인용문', '논증']",700
9,에세이,인용문/명언 활용,"다음 인용문을 첫 문장 또는 결말로 활용하여 400자 이상으로 글을 작성하시오: ""이해는 대화에서 태어난다.""",어려움,"['사회/관계', '인용문', '창작']",800
10,에세이,인용문/명언 활용,"다음 인용문을 바탕으로 자신의 생각이나 경험을 400자 이상으로 서술하시오: ""변화는 두려움 속에 숨어 있다.""",어려움,"['철학/삶', '인용문', '확장']",600
